Performance Struct Name:,Performance_01
Portfolio Tracked:,Portfolio_01

Year,Month,Day,Total Investment,Total Revenue,Total Value,
0,0,0,5000.00,0.00,5000.00,
0,0,1,5000.00,208.68,5008.26,
0,0,2,5000.00,370.41,5013.55,
0,0,3,5000.00,425.28,5048.47,
0,0,4,5000.00,425.28,5048.47,
0,0,5,5053.91,425.28,5013.55,
0,0,6,5210.42,425.28,5008.26,
0,0,7,5410.42,425.28,5000.00,
0,0,8,5601.74,425.28,4974.38,
0,0,9,5740.01,425.28,4931.72,
0,0,10,5830.26,425.28,4918.66,
0,0,11,5830.26,425.28,4918.66,
0,0,12,5830.26,517.46,4931.72,
0,0,13,5830.26,660.95,4974.38,
0,0,14,5830.26,860.95,5000.00,
0,0,15,5830.26,1069.63,5008.26,
0,0,16,5830.26,1231.36,5013.55,
0,0,17,5830.26,1286.23,5048.47,
0,0,18,5830.26,1286.23,5048.47,
0,0,19,5884.17,1286.23,5013.55,
0,0,20,6040.68,1286.23,5008.26,
0,0,21,6240.68,1286.23,5000.00,
0,0,22,6432.00,1286.23,4974.38,
0,0,23,6570.28,1286.23,4931.72,
0,0,24,6660.53,1286.23,4918.66,
0,0,25,6660.53,1286.23,4918.66,
0,0,26,6660.53,1378.41,4931.72,
0,0,27,6660.53,1521.91,4974.38,
0,0,28,6660.53,1721.91,5000.00,
0,0,29,6660.53,1930.58,5008.26,
0,0,30,6660.53,2092.31,5013.55,
0,0,31,6660.53,2147.19,5048.47,
0,0,32,6660.53,2147.19,5048.47,
0,0,33,6714.44,2147.19,5013.55,
0,0,34,6870.94,2147.19,5008.26,
0,0,35,7070.94,2147.19,5000.00,
0,0,36,7262.27,2147.19,4974.38,
0,0,37,7400.54,2147.19,4931.72,
0,0,38,7490.79,2147.19,4918.66,
0,0,39,7490.79,2147.19,4918.66,
0,0,40,7490.79,2239.37,4931.72,
0,0,41,7490.79,2382.86,4974.38,
0,0,42,7490.79,2582.86,5000.00,
0,0,43,7490.79,2791.54,5008.26,
0,0,44,7490.79,2953.26,5013.55,
0,0,45,7490.79,3008.14,5048.47,
0,0,46,7490.79,3008.14,5048.47,
0,0,47,7544.70,3008.14,5013.55,
0,0,48,7701.21,3008.14,5008.26,
0,0,49,7901.21,3008.14,5000.00,
0,0,50,8092.53,3008.14,4974.38,
0,0,51,8230.80,3008.14,4931.72,
0,0,52,8321.05,3008.14,4918.66,
0,0,53,8321.05,3008.14,4918.66,
0,0,54,8321.05,3100.32,4931.72,
0,0,55,8321.05,3243.81,4974.38,
0,0,56,8321.05,3443.81,5000.00,
0,0,57,8321.05,3652.49,5008.26,
0,0,58,8321.05,3814.22,5013.55,
0,0,59,8321.05,3869.09,5048.47,
0,0,60,8321.05,3869.09,5048.47,
0,0,61,8374.96,3869.09,5013.55,
0,0,62,8531.47,3869.09,5008.26,
0,0,63,8731.47,3869.09,5000.00,
0,0,64,8922.79,3869.09,4974.38,
0,0,65,9061.06,3869.09,4931.72,
0,0,66,9151.31,3869.09,4918.66,
0,0,67,9151.31,3869.09,4918.66,
0,0,68,9151.31,3961.27,4931.72,
0,0,69,9151.31,4104.77,4974.38,
0,0,70,9151.31,4304.77,5000.00,
0,0,71,9151.31,4513.44,5008.26,
0,0,72,9151.31,4675.17,5013.55,
0,0,73,9151.31,4730.05,5048.47,
0,0,74,9151.31,4730.05,5048.47,
0,0,75,9205.22,4730.05,5013.55,
0,0,76,9361.73,4730.05,5008.26,
0,0,77,9561.73,4730.05,5000.00,
0,0,78,9753.05,4730.05,4974.38,
0,0,79,9891.33,4730.05,4931.72,
0,0,80,9981.58,4730.05,4918.66,
0,0,81,9981.58,4730.05,4918.66,
0,0,82,9981.58,4822.23,4931.72,
0,0,83,9981.58,4965.72,4974.38,
0,0,84,9981.58,5165.72,5000.00,
0,0,85,9981.58,5374.40,5008.26,
0,0,86,9981.58,5536.12,5013.55,
0,0,87,9981.58,5591.00,5048.47,
0,0,88,9981.58,5591.00,5048.47,
0,0,89,10035.49,5591.00,5013.55,
0,0,90,10192.00,5591.00,5008.26,
0,0,91,10392.00,5591.00,5000.00,
0,0,92,10583.32,5591.00,4974.38,
0,0,93,10721.59,5591.00,4931.72,
0,0,94,10811.84,5591.00,4918.66,
0,0,95,10811.84,5591.00,4918.66,
0,0,96,10811.84,5683.18,4931.72,
0,0,97,10811.84,5826.67,4974.38,
0,0,98,10811.84,6026.67,5000.00,
0,0,99,10811.84,6235.35,5008.26,
0,0,100,10811.84,6397.08,5013.55,
0,0,101,10811.84,6451.95,5048.47,
0,0,102,10811.84,6451.95,5048.47,
0,0,103,10865.75,6451.95,5013.55,
0,0,104,11022.26,6451.95,5008.26,
0,0,105,11222.26,6451.95,5000.00,
0,0,106,11413.58,6451.95,4974.38,
0,0,107,11551.85,6451.95,4931.72,
0,0,108,11642.10,6451.95,4918.66,
0,0,109,11642.10,6451.95,4918.66,
0,0,110,11642.10,6544.13,4931.72,
0,0,111,11642.10,6687.63,4974.38,
0,0,112,11642.10,6887.63,5000.00,
0,0,113,11642.10,7096.30,5008.26,
0,0,114,11642.10,7258.03,5013.55,
0,0,115,11642.10,7312.91,5048.47,
0,0,116,11642.10,7312.91,5048.47,
0,0,117,11696.01,7312.91,5013.55,
0,0,118,11852.52,7312.91,5008.26,
0,0,119,12052.52,7312.91,5000.00,
0,0,120,12243.84,7312.91,4974.38,
0,0,121,12382.12,7312.91,4931.72,
0,0,122,12472.37,7312.91,4918.66,
0,0,123,12472.37,7312.91,4918.66,
0,0,124,12472.37,7405.09,4931.72,
0,0,125,12472.37,7548.58,4974.38,
0,0,126,12472.37,7748.58,5000.00,
0,0,127,12472.37,7957.26,5008.26,
0,0,128,12472.37,8118.98,5013.55,
0,0,129,12472.37,8173.86,5048.47,
0,0,130,12472.37,8173.86,5048.47,
0,0,131,12526.28,8173.86,5013.55,
0,0,132,12682.78,8173.86,5008.26,
0,0,133,12882.78,8173.86,5000.00,
0,0,134,13074.11,8173.86,4974.38,
0,0,135,13212.38,8173.86,4931.72,
0,0,136,13302.63,8173.86,4918.66,
0,0,137,13302.63,8173.86,4918.66,
0,0,138,13302.63,8266.04,4931.72,
