Performance Struct Name:,Performance_01,,,,
Portfolio Tracked:,Portfolio_01,,,,
,,,,,
Year,Month,Day,Total Investment,Total Revenue,Total Value
0,0,193,5377.05,107.61,372.1
0,0,194,5377.05,107.61,372.1
0,0,195,5377.05,107.61,372.1
0,0,196,5377.05,107.61,372.1
0,0,197,5377.05,107.61,372.1
0,0,198,5377.05,107.61,372.1
0,0,199,5377.05,107.61,372.1
0,0,200,5377.05,107.61,372.1
0,0,201,5377.05,107.61,372.1
0,0,202,5377.05,107.61,372.1
0,0,203,5377.05,107.61,372.1
0,0,204,5377.05,107.61,372.1
0,0,205,5377.05,107.61,372.1
0,0,206,5377.05,107.61,372.1
0,0,207,5377.05,107.61,372.1
0,0,208,5377.05,107.61,372.1
0,0,209,5377.05,107.61,372.1
0,0,210,5377.05,107.61,372.1
0,0,211,5377.05,107.61,372.1
0,0,212,5377.05,107.61,372.1
0,0,213,5377.05,107.61,372.1
0,0,214,5377.05,107.61,372.1
0,0,215,5377.05,107.61,372.1
0,0,216,5377.05,107.61,372.1
0,0,217,5377.05,107.61,372.1
0,0,218,5377.05,107.61,372.1
0,0,219,5377.05,107.61,372.1
0,0,220,5377.05,107.61,372.1
0,0,221,5377.05,107.61,372.1
0,0,222,5377.05,125.53,372.48
0,0,223,5377.05,125.53,372.48
0,0,224,5377.05,125.53,372.48
0,0,225,5377.05,125.53,372.48
0,0,226,5377.05,125.53,372.48
0,0,227,5377.05,125.53,372.48
0,0,228,5377.05,125.53,372.48
0,0,229,5377.05,125.53,372.48
0,0,230,5377.05,125.53,372.48
0,0,231,5377.05,125.53,372.48
0,0,232,5377.05,125.53,372.48
0,0,233,5377.05,125.53,372.48
0,0,234,5377.05,125.53,372.48
0,0,235,5377.05,125.53,372.48
0,0,236,5377.05,125.53,372.48
0,0,237,5377.05,125.53,372.48
0,0,238,5377.05,125.53,372.48
0,0,239,5377.05,125.53,372.48
0,0,240,5377.05,125.53,372.48
0,0,241,5377.05,125.53,372.48
0,0,242,5377.05,125.53,372.48
0,0,243,5377.05,125.53,372.48
0,0,244,5377.05,125.53,372.48
0,0,245,5377.05,125.53,372.48
0,0,246,5377.05,125.53,372.48
0,0,247,5377.05,125.53,372.48
0,0,248,5377.05,125.53,372.48
0,0,249,5377.05,125.53,372.48
0,0,250,5377.05,125.53,372.48
0,0,251,5377.05,125.53,372.48
0,0,252,5377.05,154.3,369.9
0,0,253,5377.05,154.3,369.9
0,0,254,5377.05,154.3,369.9
0,0,255,5377.05,154.3,369.9
0,0,256,5377.05,154.3,369.9
0,0,257,5377.05,154.3,369.9
0,0,258,5377.05,154.3,369.9
0,0,259,5377.05,154.3,369.9
0,0,260,5377.05,154.3,369.9
0,0,261,5377.05,154.3,369.9
0,0,262,5377.05,154.3,369.9
0,0,263,5377.05,154.3,369.9
0,0,264,5377.05,154.3,369.9
0,0,265,5377.05,154.3,369.9
0,0,266,5377.05,154.3,369.9
0,0,267,5377.05,154.3,369.9
0,0,268,5377.05,154.3,369.9
0,0,269,5377.05,154.3,369.9
0,0,270,5377.05,154.3,369.9
0,0,271,5377.05,154.3,369.9
0,0,272,5377.05,154.3,369.9
0,0,273,5377.05,154.3,369.9
0,0,274,5377.05,154.3,369.9
0,0,275,5377.05,154.3,369.9
0,0,276,5377.05,154.3,369.9
0,0,277,5377.05,154.3,369.9
0,0,278,5377.05,154.3,369.9
0,0,279,5377.05,154.3,369.9
0,0,280,5377.05,154.3,369.9
0,0,281,5377.05,154.3,369.9
0,0,282,5377.05,154.3,369.9
0,0,283,5377.05,154.3,369.9
0,0,284,5377.05,154.3,369.9
0,0,285,5377.05,154.3,369.9
0,0,286,5377.05,154.3,369.9
0,0,287,5377.05,154.3,369.9
0,0,288,5377.05,154.3,369.9
0,0,289,5377.05,154.3,369.9
0,0,290,5377.05,154.3,369.9
0,0,291,5377.05,154.3,369.9
0,0,292,5377.05,154.3,369.9
0,0,293,5377.05,154.3,369.9
0,0,294,5377.05,171.46,368.94
0,0,295,5377.05,171.46,368.94
0,0,296,5377.05,171.46,368.94
0,0,297,5377.05,171.46,368.94
0,0,298,5377.05,171.46,368.94
0,0,299,5377.05,171.46,368.94
0,0,300,5377.05,171.46,368.94
