Transaction,Year,Month,Day,Hour,Minute,Second,Symbol,Price,Shares,Total
BUY,0,0,0,0,0,0.000,AAA,50.00,100,5000.00
BUY,0,0,1,0,0,0.000,AAA,1.35,189,255.15
BUY,0,0,31,0,0,0.000,AAA,1.28,7,8.96
BUY,0,0,49,0,0,0.000,AAA,1.21,9,10.89
SELL,0,0,58,0,0,0.000,AAA,1.26,7,8.82
SELL,0,0,68,0,0,0.000,AAA,1.32,8,10.56
BUY,0,0,77,0,0,0.000,AAA,1.23,13,15.99
SELL,0,0,82,0,0,0.000,AAA,1.29,9,11.61
SELL,0,0,100,0,0,0.000,AAA,1.35,13,17.55
SELL,0,0,110,0,0,0.000,AAA,1.43,17,24.31
BUY,0,0,114,0,0,0.000,AAA,1.36,14,19.04
BUY,0,0,138,0,0,0.000,AAA,1.30,12,15.60
SELL,0,0,145,0,0,0.000,AAA,1.36,13,17.68
BUY,0,0,162,0,0,0.000,AAA,1.30,12,15.60
BUY,0,0,165,0,0,0.000,AAA,1.22,17,20.74
BUY,0,0,173,0,0,0.000,AAA,1.16,13,15.08
SELL,0,0,180,0,0,0.000,AAA,1.22,14,17.08
SELL,0,0,222,0,0,0.000,AAA,1.28,14,17.92
SELL,0,0,252,0,0,0.000,AAA,1.37,21,28.77
SELL,0,0,294,0,0,0.000,AAA,1.43,12,17.16
