Performance Struct Name:,Performance_01
Portfolio Tracked:,Portfolio_01

Year,Month,Day,Total Investment,Total Revenue,Total Value,
0,0,0,135.00,0.00,135.00,
0,0,1,135.00,0.00,135.00,
0,0,2,135.00,0.00,135.00,
0,0,3,135.00,0.00,135.00,
0,0,4,135.00,0.00,135.00,
0,0,5,135.00,0.00,135.00,
0,0,6,135.00,0.00,135.00,
0,0,7,135.00,0.00,135.00,
0,0,8,135.00,0.00,135.00,
0,0,9,135.00,0.00,135.00,
0,0,10,135.00,0.00,135.00,
0,0,11,135.00,0.00,135.00,
0,0,12,135.00,0.00,135.00,
0,0,13,135.00,0.00,135.00,
0,0,14,135.00,0.00,135.00,
0,0,15,135.00,0.00,135.00,
0,0,16,135.00,0.00,135.00,
0,0,17,135.00,0.00,135.00,
0,0,18,135.00,0.00,135.00,
0,0,19,135.00,0.00,135.00,
0,0,20,135.00,0.00,135.00,
0,0,21,135.00,0.00,135.00,
0,0,22,135.00,0.00,135.00,
0,0,23,135.00,0.00,135.00,
0,0,24,135.00,0.00,135.00,
0,0,25,135.00,0.00,135.00,
0,0,26,135.00,0.00,135.00,
0,0,27,135.00,0.00,135.00,
0,0,28,135.00,0.00,135.00,
0,0,29,135.00,0.00,135.00,
0,0,30,135.00,0.00,135.00,
0,0,31,135.00,0.00,135.00,
0,0,32,135.00,0.00,135.00,
0,0,33,135.00,0.00,135.00,
0,0,34,135.00,0.00,135.00,
0,0,35,135.00,0.00,135.00,
0,0,36,135.00,0.00,135.00,
0,0,37,135.00,0.00,135.00,
0,0,38,135.00,0.00,135.00,
0,0,39,135.00,0.00,135.00,
0,0,40,135.00,0.00,135.00,
0,0,41,135.00,0.00,135.00,
0,0,42,135.00,0.00,135.00,
0,0,43,135.00,0.00,135.00,
0,0,44,135.00,0.00,135.00,
0,0,45,135.00,0.00,135.00,
0,0,46,135.00,0.00,135.00,
0,0,47,135.00,0.00,135.00,
0,0,48,135.00,0.00,135.00,
0,0,49,135.00,0.00,135.00,
0,0,50,135.00,0.00,135.00,
0,0,51,135.00,0.00,135.00,
0,0,52,135.00,0.00,135.00,
0,0,53,148.20,0.00,133.20,
0,0,54,148.20,0.00,133.20,
0,0,55,148.20,0.00,133.20,
0,0,56,148.20,0.00,133.20,
0,0,57,148.20,0.00,133.20,
0,0,58,148.20,0.00,133.20,
0,0,59,148.20,0.00,133.20,
0,0,60,148.20,0.00,133.20,
0,0,61,148.20,0.00,133.20,
0,0,62,148.20,0.00,133.20,
0,0,63,148.20,0.00,133.20,
0,0,64,148.20,0.00,133.20,
0,0,65,148.20,0.00,133.20,
0,0,66,148.20,0.00,133.20,
0,0,67,148.20,0.00,133.20,
0,0,68,148.20,0.00,133.20,
0,0,69,148.20,19.18,132.89,
0,0,70,148.20,19.18,132.89,
0,0,71,148.20,19.18,132.89,
0,0,72,148.20,19.18,132.89,
0,0,73,148.20,19.18,132.89,
0,0,74,148.20,19.18,132.89,
0,0,75,148.20,19.18,132.89,
0,0,76,148.20,19.18,132.89,
0,0,77,148.20,19.18,132.89,
0,0,78,161.51,19.18,130.68,
0,0,79,161.51,19.18,130.68,
0,0,80,161.51,19.18,130.68,
0,0,81,161.51,19.18,130.68,
0,0,82,161.51,19.18,130.68,
0,0,83,161.51,19.18,130.68,
0,0,84,161.51,19.18,130.68,
0,0,85,161.51,19.18,130.68,
0,0,86,161.51,19.18,130.68,
0,0,87,161.51,19.18,130.68,
0,0,88,161.51,19.18,130.68,
0,0,89,161.51,19.18,130.68,
0,0,90,161.51,19.18,130.68,
0,0,91,161.51,19.18,130.68,
0,0,92,161.51,19.18,130.68,
0,0,93,161.51,19.18,130.68,
0,0,94,161.51,19.18,130.68,
0,0,95,161.51,19.18,130.68,
0,0,96,161.51,19.18,130.68,
0,0,97,161.51,19.18,130.68,
0,0,98,161.51,19.18,130.68,
0,0,99,161.51,19.18,130.68,
0,0,100,161.51,34.03,130.95,
0,0,101,161.51,34.03,130.95,
0,0,102,161.51,34.03,130.95,
0,0,103,161.51,34.03,130.95,
0,0,104,161.51,34.03,130.95,
0,0,105,161.51,34.03,130.95,
0,0,106,161.51,34.03,130.95,
0,0,107,161.51,34.03,130.95,
0,0,108,161.51,34.03,130.95,
0,0,109,161.51,34.03,130.95,
0,0,110,161.51,34.03,130.95,
0,0,111,161.51,34.03,130.95,
0,0,112,161.51,34.03,130.95,
0,0,113,161.51,34.03,130.95,
0,0,114,161.51,34.03,130.95,
0,0,115,161.51,34.03,130.95,
0,0,116,161.51,34.03,130.95,
0,0,117,161.51,34.03,130.95,
0,0,118,161.51,34.03,130.95,
0,0,119,161.51,34.03,130.95,
0,0,120,161.51,34.03,130.95,
0,0,121,161.51,34.03,130.95,
0,0,122,161.51,34.03,130.95,
0,0,123,161.51,34.03,130.95,
0,0,124,161.51,34.03,130.95,
0,0,125,161.51,34.03,130.95,
0,0,126,161.51,34.03,130.95,
0,0,127,161.51,34.03,130.95,
0,0,128,161.51,34.03,130.95,
0,0,129,161.51,34.03,130.95,
0,0,130,161.51,34.03,130.95,
0,0,131,161.51,34.03,130.95,
0,0,132,161.51,34.03,130.95,
0,0,133,161.51,34.03,130.95,
0,0,134,161.51,34.03,130.95,
0,0,135,161.51,34.03,130.95,
0,0,136,161.51,34.03,130.95,
0,0,137,161.51,34.03,130.95,
0,0,138,161.51,34.03,130.95,
0,0,139,161.51,34.03,130.95,
0,0,140,161.51,34.03,130.95,
0,0,141,161.51,34.03,130.95,
0,0,142,161.51,34.03,130.95,
0,0,143,161.51,34.03,130.95,
0,0,144,161.51,34.03,130.95,
0,0,145,161.51,34.03,130.95,
0,0,146,161.51,34.03,130.95,
0,0,147,161.51,34.03,130.95,
0,0,148,161.51,34.03,130.95,
0,0,149,161.51,34.03,130.95,
0,0,150,161.51,34.03,130.95,
0,0,151,161.51,34.03,130.95,
0,0,152,161.51,34.03,130.95,
0,0,153,161.51,34.03,130.95,
0,0,154,161.51,34.03,130.95,
0,0,155,161.51,34.03,130.95,
0,0,156,161.51,34.03,130.95,
0,0,157,161.51,34.03,130.95,
0,0,158,161.51,34.03,130.95,
0,0,159,161.51,34.03,130.95,
0,0,160,161.51,34.03,130.95,
0,0,161,161.51,34.03,130.95,
0,0,162,161.51,34.03,130.95,
0,0,163,161.51,34.03,130.95,
0,0,164,161.51,34.03,130.95,
0,0,165,161.51,34.03,130.95,
0,0,166,161.51,34.03,130.95,
0,0,167,161.51,34.03,130.95,
0,0,168,161.51,34.03,130.95,
0,0,169,174.60,34.03,128.52,
0,0,170,174.60,34.03,128.52,
0,0,171,174.60,34.03,128.52,
0,0,172,174.60,34.03,128.52,
0,0,173,174.60,34.03,128.52,
0,0,174,174.60,34.03,128.52,
0,0,175,174.60,34.03,128.52,
0,0,176,174.60,34.03,128.52,
0,0,177,174.60,34.03,128.52,
0,0,178,174.60,34.03,128.52,
0,0,179,174.60,34.03,128.52,
0,0,180,174.60,34.03,128.52,
0,0,181,174.60,34.03,128.52,
0,0,182,174.60,34.03,128.52,
0,0,183,174.60,34.03,128.52,
0,0,184,174.60,34.03,128.52,
0,0,185,174.60,34.03,128.52,
0,0,186,174.60,34.03,128.52,
0,0,187,174.60,34.03,128.52,
0,0,188,174.60,34.03,128.52,
0,0,189,174.60,34.03,128.52,
0,0,190,174.60,34.03,128.52,
0,0,191,174.60,34.03,128.52,
0,0,192,174.60,34.03,128.52,
0,0,193,174.60,34.03,128.52,
0,0,194,174.60,34.03,128.52,
0,0,195,174.60,34.03,128.52,
0,0,196,174.60,34.03,128.52,
0,0,197,174.60,34.03,128.52,
0,0,198,174.60,34.03,128.52,
0,0,199,174.60,34.03,128.52,
0,0,200,174.60,34.03,128.52,
0,0,201,174.60,34.03,128.52,
0,0,202,174.60,34.03,128.52,
0,0,203,174.60,34.03,128.52,
0,0,204,174.60,34.03,128.52,
0,0,205,174.60,34.03,128.52,
0,0,206,174.60,34.03,128.52,
0,0,207,174.60,34.03,128.52,
0,0,208,174.60,34.03,128.52,
0,0,209,174.60,34.03,128.52,
0,0,210,174.60,34.03,128.52,
0,0,211,174.60,34.03,128.52,
0,0,212,174.60,34.03,128.52,
0,0,213,174.60,34.03,128.52,
0,0,214,174.60,34.03,128.52,
0,0,215,174.60,34.03,128.52,
0,0,216,174.60,34.03,128.52,
0,0,217,174.60,34.03,128.52,
0,0,218,174.60,34.03,128.52,
0,0,219,174.60,34.03,128.52,
0,0,220,174.60,34.03,128.52,
0,0,221,174.60,34.03,128.52,
0,0,222,174.60,34.03,128.52,
0,0,223,174.60,34.03,128.52,
0,0,224,174.60,34.03,128.52,
0,0,225,174.60,34.03,128.52,
0,0,226,174.60,34.03,128.52,
0,0,227,174.60,34.03,128.52,
0,0,228,174.60,34.03,128.52,
0,0,229,174.60,34.03,128.52,
0,0,230,174.60,34.03,128.52,
0,0,231,174.60,34.03,128.52,
0,0,232,174.60,34.03,128.52,
0,0,233,174.60,34.03,128.52,
0,0,234,174.60,34.03,128.52,
0,0,235,174.60,34.03,128.52,
0,0,236,174.60,34.03,128.52,
0,0,237,174.60,34.03,128.52,
0,0,238,174.60,34.03,128.52,
0,0,239,174.60,34.03,128.52,
0,0,240,174.60,34.03,128.52,
0,0,241,174.60,34.03,128.52,
0,0,242,174.60,34.03,128.52,
0,0,243,174.60,34.03,128.52,
0,0,244,174.60,34.03,128.52,
0,0,245,174.60,34.03,128.52,
0,0,246,174.60,34.03,128.52,
0,0,247,174.60,34.03,128.52,
0,0,248,174.60,34.03,128.52,
0,0,249,174.60,34.03,128.52,
0,0,250,174.60,34.03,128.52,
0,0,251,174.60,34.03,128.52,
0,0,252,174.60,54.58,127.41,
0,0,253,174.60,54.58,127.41,
0,0,254,174.60,54.58,127.41,
0,0,255,174.60,54.58,127.41,
0,0,256,174.60,54.58,127.41,
0,0,257,174.60,54.58,127.41,
0,0,258,174.60,54.58,127.41,
0,0,259,174.60,54.58,127.41,
0,0,260,174.60,54.58,127.41,
0,0,261,174.60,54.58,127.41,
0,0,262,174.60,54.58,127.41,
0,0,263,174.60,54.58,127.41,
0,0,264,174.60,54.58,127.41,
0,0,265,174.60,54.58,127.41,
0,0,266,174.60,54.58,127.41,
0,0,267,174.60,54.58,127.41,
0,0,268,174.60,54.58,127.41,
0,0,269,174.60,54.58,127.41,
0,0,270,174.60,54.58,127.41,
0,0,271,174.60,54.58,127.41,
0,0,272,174.60,54.58,127.41,
0,0,273,174.60,54.58,127.41,
0,0,274,174.60,54.58,127.41,
0,0,275,174.60,54.58,127.41,
0,0,276,174.60,54.58,127.41,
0,0,277,174.60,54.58,127.41,
0,0,278,174.60,54.58,127.41,
0,0,279,174.60,54.58,127.41,
0,0,280,174.60,54.58,127.41,
0,0,281,174.60,54.58,127.41,
0,0,282,174.60,54.58,127.41,
0,0,283,174.60,54.58,127.41,
0,0,284,174.60,54.58,127.41,
0,0,285,174.60,54.58,127.41,
0,0,286,174.60,54.58,127.41,
0,0,287,174.60,54.58,127.41,
0,0,288,174.60,54.58,127.41,
0,0,289,174.60,54.58,127.41,
0,0,290,174.60,54.58,127.41,
0,0,291,174.60,54.58,127.41,
0,0,292,174.60,54.58,127.41,
0,0,293,174.60,54.58,127.41,
0,0,294,174.60,54.58,127.41,
0,0,295,174.60,54.58,127.41,
0,0,296,174.60,54.58,127.41,
0,0,297,174.60,54.58,127.41,
0,0,298,174.60,54.58,127.41,
0,0,299,174.60,54.58,127.41,
0,0,300,174.60,54.58,127.41,
0,0,301,174.60,54.58,127.41,
0,0,302,174.60,54.58,127.41,
0,0,303,174.60,54.58,127.41,
0,0,304,174.60,54.58,127.41,
0,0,305,174.60,54.58,127.41,
0,0,306,174.60,54.58,127.41,
0,0,307,174.60,54.58,127.41,
0,0,308,174.60,54.58,127.41,
0,0,309,174.60,54.58,127.41,
0,0,310,174.60,54.58,127.41,
0,0,311,174.60,54.58,127.41,
0,0,312,174.60,54.58,127.41,
0,0,313,174.60,54.58,127.41,
0,0,314,174.60,54.58,127.41,
0,0,315,174.60,54.58,127.41,
0,0,316,174.60,54.58,127.41,
0,0,317,174.60,54.58,127.41,
0,0,318,174.60,54.58,127.41,
0,0,319,174.60,54.58,127.41,
0,0,320,174.60,54.58,127.41,
0,0,321,174.60,54.58,127.41,
0,0,322,174.60,54.58,127.41,
0,0,323,174.60,54.58,127.41,
0,0,324,174.60,71.52,126.28,
0,0,325,174.60,71.52,126.28,
0,0,326,174.60,71.52,126.28,
0,0,327,174.60,71.52,126.28,
0,0,328,174.60,71.52,126.28,
0,0,329,174.60,71.52,126.28,
0,0,330,174.60,71.52,126.28,
0,0,331,174.60,71.52,126.28,
0,0,332,174.60,71.52,126.28,
0,0,333,174.60,71.52,126.28,
0,0,334,174.60,71.52,126.28,
0,0,335,174.60,71.52,126.28,
0,0,336,174.60,71.52,126.28,
0,0,337,174.60,71.52,126.28,
0,0,338,174.60,71.52,126.28,
0,0,339,174.60,71.52,126.28,
0,0,340,174.60,71.52,126.28,
0,0,341,174.60,71.52,126.28,
0,0,342,174.60,71.52,126.28,
0,0,343,174.60,71.52,126.28,
0,0,344,174.60,71.52,126.28,
0,0,345,174.60,71.52,126.28,
0,0,346,174.60,71.52,126.28,
0,0,347,174.60,71.52,126.28,
0,0,348,174.60,71.52,126.28,
0,0,349,174.60,71.52,126.28,
0,0,350,174.60,71.52,126.28,
0,0,351,174.60,71.52,126.28,
0,0,352,174.60,71.52,126.28,
0,0,353,174.60,71.52,126.28,
0,0,354,174.60,71.52,126.28,
0,0,355,174.60,71.52,126.28,
0,0,356,174.60,71.52,126.28,
0,0,357,174.60,71.52,126.28,
0,0,358,174.60,71.52,126.28,
0,0,359,174.60,71.52,126.28,
0,0,360,174.60,71.52,126.28,
0,0,361,174.60,71.52,126.28,
0,0,362,174.60,71.52,126.28,
0,0,363,174.60,71.52,126.28,
0,0,364,174.60,71.52,126.28,
0,0,365,174.60,71.52,126.28,
0,0,366,190.44,71.52,124.08,
0,0,367,190.44,71.52,124.08,
0,0,368,190.44,71.52,124.08,
0,0,369,190.44,71.52,124.08,
0,0,370,190.44,71.52,124.08,
0,0,371,190.44,71.52,124.08,
0,0,372,190.44,71.52,124.08,
0,0,373,190.44,71.52,124.08,
0,0,374,190.44,71.52,124.08,
0,0,375,190.44,71.52,124.08,
0,0,376,190.44,71.52,124.08,
0,0,377,190.44,71.52,124.08,
