Transaction,Year,Month,Day,Hour,Minute,Second,Symbol,Price,Shares,Total
BUY,0,0,0,0,0,0.000,GIS,1.35,100,135.00
BUY,0,0,53,0,0,0.000,GIS,1.20,11,13.20
SELL,0,0,69,0,0,0.000,GIS,1.37,14,19.18
BUY,0,0,78,0,0,0.000,GIS,1.21,11,13.31
SELL,0,0,100,0,0,0.000,GIS,1.35,11,14.85
BUY,0,0,169,0,0,0.000,GIS,1.19,11,13.09
SELL,0,0,252,0,0,0.000,GIS,1.37,15,20.55
SELL,0,0,324,0,0,0.000,GIS,1.54,11,16.94
BUY,0,0,366,0,0,0.000,GIS,1.32,12,15.84
SELL,0,0,418,0,0,0.000,GIS,1.48,10,14.80
SELL,0,0,520,0,0,0.000,GIS,1.71,12,20.52
BUY,0,0,556,0,0,0.000,GIS,1.50,9,13.50
SELL,0,0,584,0,0,0.000,GIS,1.69,9,15.21
SELL,0,0,623,0,0,0.000,GIS,1.90,9,17.10
BUY,0,0,624,0,0,0.000,GIS,1.64,9,14.76
SELL,0,0,687,0,0,0.000,GIS,1.87,9,16.83
SELL,0,0,696,0,0,0.000,GIS,2.14,9,19.26
SELL,0,0,790,0,0,0.000,GIS,2.50,9,22.50
BUY,0,0,824,0,0,0.000,GIS,2.15,6,12.90
SELL,0,0,856,0,0,0.000,GIS,2.46,6,14.76
SELL,0,0,919,0,0,0.000,GIS,2.80,6,16.80
SELL,0,0,1009,0,0,0.000,GIS,3.19,5,15.95
BUY,0,0,1102,0,0,0.000,GIS,2.59,6,15.54
SELL,0,0,1155,0,0,0.000,GIS,2.97,5,14.85
BUY,0,0,1244,0,0,0.000,GIS,2.54,5,12.70
SELL,0,0,1302,0,0,0.000,GIS,3.01,6,18.06
SELL,0,0,1455,0,0,0.000,GIS,3.47,4,13.88
SELL,0,0,1501,0,0,0.000,GIS,4.02,4,16.08
SELL,0,0,1638,0,0,0.000,GIS,4.62,3,13.86
BUY,0,0,1696,0,0,0.000,GIS,3.94,3,11.82
SELL,0,0,1718,0,0,0.000,GIS,4.53,3,13.59
SELL,0,0,1765,0,0,0.000,GIS,5.19,3,15.57
SELL,0,0,1791,0,0,0.000,GIS,5.94,3,17.82
BUY,0,0,1821,0,0,0.000,GIS,4.93,3,14.79
SELL,0,0,1865,0,0,0.000,GIS,5.75,3,17.25
SELL,0,0,1945,0,0,0.000,GIS,6.77,2,13.54
SELL,0,0,1970,0,0,0.000,GIS,7.81,2,15.62
SELL,0,0,2148,0,0,0.000,GIS,8.97,1,8.97
BUY,0,0,2708,0,0,0.000,GIS,7.72,1,7.72
SELL,0,0,2971,0,0,0.000,GIS,9.00,2,18.00
BUY,0,0,3026,0,0,0.000,GIS,7.21,2,14.42
SELL,0,0,3120,0,0,0.000,GIS,8.52,2,17.04
SELL,0,0,3417,0,0,0.000,GIS,9.98,1,9.98
SELL,0,0,3651,0,0,0.000,GIS,11.58,1,11.58
BUY,0,0,3830,0,0,0.000,GIS,9.78,1,9.78
SELL,0,0,3865,0,0,0.000,GIS,11.28,1,11.28
SELL,0,0,3938,0,0,0.000,GIS,12.97,1,12.97
BUY,0,0,4176,0,0,0.000,GIS,10.89,1,10.89
SELL,0,0,4265,0,0,0.000,GIS,12.84,1,12.84
BUY,0,0,4354,0,0,0.000,GIS,10.91,1,10.91
SELL,0,0,4379,0,0,0.000,GIS,12.68,1,12.68
SELL,0,0,4434,0,0,0.000,GIS,14.57,1,14.57
SELL,0,0,4647,0,0,0.000,GIS,17.22,1,17.22
BUY,0,0,4823,0,0,0.000,GIS,14.40,1,14.40
SELL,0,0,4913,0,0,0.000,GIS,16.55,7,115.85
