Name,Stock_D
Symbol,DDD
Exchange,Exchange_01
Current Price,-1859.86

Stock Activity

Year,Month,Day,High,Low,Close,Volume
0,0,0,131.00,129.00,130.00,10000
0,0,1,-1.00,-1.00,161.73,-1
0,0,2,-1.00,-1.00,182.35,-1
0,0,3,-1.00,-1.00,181.10,-1
0,0,4,-1.00,-1.00,197.73,-1
0,0,5,-1.00,-1.00,219.90,-1
0,0,6,-1.00,-1.00,204.46,-1
0,0,7,-1.00,-1.00,213.60,-1
0,0,8,-1.00,-1.00,242.97,-1
0,0,9,-1.00,-1.00,269.89,-1
0,0,10,-1.00,-1.00,262.69,-1
0,0,11,-1.00,-1.00,260.06,-1
0,0,12,-1.00,-1.00,279.16,-1
0,0,13,-1.00,-1.00,267.55,-1
0,0,14,-1.00,-1.00,302.37,-1
0,0,15,-1.00,-1.00,322.92,-1
0,0,16,-1.00,-1.00,318.69,-1
0,0,17,-1.00,-1.00,322.24,-1
0,0,18,-1.00,-1.00,328.14,-1
0,0,19,-1.00,-1.00,333.09,-1
0,0,20,-1.00,-1.00,320.57,-1
0,0,21,-1.00,-1.00,323.56,-1
0,0,22,-1.00,-1.00,346.05,-1
0,0,23,-1.00,-1.00,331.48,-1
0,0,24,-1.00,-1.00,350.77,-1
0,0,25,-1.00,-1.00,368.01,-1
0,0,26,-1.00,-1.00,408.12,-1
0,0,27,-1.00,-1.00,415.94,-1
0,0,28,-1.00,-1.00,384.72,-1
0,0,29,-1.00,-1.00,378.90,-1
0,0,30,-1.00,-1.00,335.42,-1
0,0,31,-1.00,-1.00,293.09,-1
0,0,32,-1.00,-1.00,242.71,-1
0,0,33,-1.00,-1.00,233.67,-1
0,0,34,-1.00,-1.00,261.98,-1
0,0,35,-1.00,-1.00,266.37,-1
0,0,36,-1.00,-1.00,306.07,-1
0,0,37,-1.00,-1.00,300.26,-1
0,0,38,-1.00,-1.00,269.93,-1
0,0,39,-1.00,-1.00,244.44,-1
0,0,40,-1.00,-1.00,229.81,-1
0,0,41,-1.00,-1.00,252.82,-1
0,0,42,-1.00,-1.00,243.96,-1
0,0,43,-1.00,-1.00,266.52,-1
0,0,44,-1.00,-1.00,292.36,-1
0,0,45,-1.00,-1.00,338.98,-1
0,0,46,-1.00,-1.00,338.46,-1
0,0,47,-1.00,-1.00,324.20,-1
0,0,48,-1.00,-1.00,322.16,-1
0,0,49,-1.00,-1.00,327.23,-1
0,0,50,-1.00,-1.00,352.14,-1
0,0,51,-1.00,-1.00,336.37,-1
0,0,52,-1.00,-1.00,341.55,-1
0,0,53,-1.00,-1.00,318.42,-1
0,0,54,-1.00,-1.00,319.75,-1
0,0,55,-1.00,-1.00,314.62,-1
0,0,56,-1.00,-1.00,323.78,-1
0,0,57,-1.00,-1.00,369.29,-1
0,0,58,-1.00,-1.00,372.78,-1
0,0,59,-1.00,-1.00,384.80,-1
0,0,60,-1.00,-1.00,365.88,-1
0,0,61,-1.00,-1.00,356.47,-1
0,0,62,-1.00,-1.00,339.68,-1
0,0,63,-1.00,-1.00,324.60,-1
0,0,64,-1.00,-1.00,338.01,-1
0,0,65,-1.00,-1.00,328.48,-1
0,0,66,-1.00,-1.00,364.63,-1
0,0,67,-1.00,-1.00,341.72,-1
0,0,68,-1.00,-1.00,332.99,-1
0,0,69,-1.00,-1.00,321.32,-1
0,0,70,-1.00,-1.00,321.48,-1
0,0,71,-1.00,-1.00,335.16,-1
0,0,72,-1.00,-1.00,307.24,-1
0,0,73,-1.00,-1.00,357.51,-1
0,0,74,-1.00,-1.00,383.23,-1
0,0,75,-1.00,-1.00,435.66,-1
0,0,76,-1.00,-1.00,424.42,-1
0,0,77,-1.00,-1.00,404.50,-1
0,0,78,-1.00,-1.00,400.21,-1
0,0,79,-1.00,-1.00,381.15,-1
0,0,80,-1.00,-1.00,399.18,-1
0,0,81,-1.00,-1.00,405.58,-1
0,0,82,-1.00,-1.00,392.20,-1
0,0,83,-1.00,-1.00,376.86,-1
0,0,84,-1.00,-1.00,356.36,-1
0,0,85,-1.00,-1.00,338.20,-1
0,0,86,-1.00,-1.00,339.07,-1
0,0,87,-1.00,-1.00,323.73,-1
0,0,88,-1.00,-1.00,308.05,-1
0,0,89,-1.00,-1.00,323.27,-1
0,0,90,-1.00,-1.00,336.56,-1
0,0,91,-1.00,-1.00,332.20,-1
0,0,92,-1.00,-1.00,312.44,-1
0,0,93,-1.00,-1.00,306.31,-1
0,0,94,-1.00,-1.00,330.85,-1
0,0,95,-1.00,-1.00,345.98,-1
0,0,96,-1.00,-1.00,317.30,-1
0,0,97,-1.00,-1.00,339.12,-1
0,0,98,-1.00,-1.00,351.97,-1
0,0,99,-1.00,-1.00,329.96,-1
0,0,100,-1.00,-1.00,330.81,-1
0,0,101,-1.00,-1.00,328.66,-1
0,0,102,-1.00,-1.00,342.71,-1
0,0,103,-1.00,-1.00,353.05,-1
0,0,104,-1.00,-1.00,327.24,-1
0,0,105,-1.00,-1.00,322.09,-1
0,0,106,-1.00,-1.00,339.24,-1
0,0,107,-1.00,-1.00,362.72,-1
0,0,108,-1.00,-1.00,356.58,-1
0,0,109,-1.00,-1.00,354.56,-1
0,0,110,-1.00,-1.00,353.81,-1
0,0,111,-1.00,-1.00,389.00,-1
0,0,112,-1.00,-1.00,405.46,-1
0,0,113,-1.00,-1.00,392.06,-1
0,0,114,-1.00,-1.00,414.82,-1
0,0,115,-1.00,-1.00,427.56,-1
0,0,116,-1.00,-1.00,451.20,-1
0,0,117,-1.00,-1.00,440.42,-1
0,0,118,-1.00,-1.00,432.52,-1
0,0,119,-1.00,-1.00,439.92,-1
0,0,120,-1.00,-1.00,461.19,-1
0,0,121,-1.00,-1.00,442.87,-1
0,0,122,-1.00,-1.00,460.87,-1
0,0,123,-1.00,-1.00,480.63,-1
0,0,124,-1.00,-1.00,450.63,-1
0,0,125,-1.00,-1.00,452.72,-1
