Performance Struct Name:,Performance_01
Portfolio Tracked:,Portfolio_01

Year,Month,Day,Total Investment,Total Revenue,Total Value,
0,0,0,50000.00,0.00,50000.00,
0,0,1,52467.69,0.00,49923.20,
0,0,2,61083.88,0.00,48197.99,
0,0,3,67358.06,0.00,46062.48,
0,0,4,67358.06,2272.47,46569.20,
0,0,5,67358.06,8552.09,46890.32,
0,0,6,67358.06,9709.49,46951.73,
0,0,7,76367.96,9709.49,44041.99,
0,0,8,79837.45,9709.49,42501.27,
0,0,9,79837.45,13049.64,43421.99,
0,0,10,82276.27,13049.64,42575.60,
0,0,11,89736.53,13049.64,35410.65,
0,0,12,91570.58,13049.64,33346.41,
0,0,13,93817.63,13049.64,30176.52,
0,0,14,93817.63,22107.82,35520.05,
0,0,15,93817.63,31453.69,37358.84,
0,0,16,93817.63,34898.91,37653.31,
0,0,17,101679.51,34898.91,33063.46,
0,0,18,104372.32,34898.91,30874.51,
0,0,19,104372.32,36806.31,32068.04,
0,0,20,104372.32,37955.65,32666.51,
0,0,21,104372.32,54227.54,32732.35,
0,0,22,109680.42,54227.54,31418.78,
0,0,23,116070.24,54227.54,20312.21,
0,0,24,116070.24,57483.66,23663.67,
0,0,25,116070.24,70246.67,26403.36,
0,0,26,117488.46,70246.67,25974.82,
0,0,27,117488.46,78389.93,25880.29,
0,0,28,117488.46,78466.57,25903.77,
0,0,29,117488.46,79445.81,25857.20,
0,0,30,117488.46,93661.23,21579.60,
0,0,31,118580.74,93661.23,21845.59,
0,0,32,123703.07,93661.23,22105.43,
0,0,33,123703.07,95769.86,21858.48,
0,0,34,127267.05,95769.86,21654.24,
0,0,35,127267.05,98801.55,21472.12,
0,0,36,127267.05,107092.98,19299.01,
0,0,37,130297.98,107092.98,19731.97,
0,0,38,130297.98,109797.90,19139.89,
0,0,39,130297.98,117273.41,16403.41,
0,0,40,130297.98,119243.96,15626.90,
0,0,41,135189.41,119243.96,16555.63,
0,0,42,137005.15,119243.96,16710.93,
0,0,43,138979.16,119243.96,16657.45,
