Transaction,Year,Month,Day,Hour,Minute,Second,Symbol,Price,Shares,Total
BUY,0,0,0,0,0,0.000,AAA,50.00,1000,50000.00
BUY,0,0,1,0,0,0.000,AAA,47.46,52,2467.69
BUY,0,0,2,0,0,0.000,AAA,37.63,229,8616.19
BUY,0,0,3,0,0,0.000,AAA,31.06,202,6274.19
SELL,0,0,4,0,0,0.000,AAA,32.93,69,2272.47
SELL,0,0,5,0,0,0.000,AAA,37.60,167,6279.62
SELL,0,0,6,0,0,0.000,AAA,38.58,30,1157.40
BUY,0,0,7,0,0,0.000,AAA,28.79,313,9009.90
BUY,0,0,8,0,0,0.000,AAA,25.51,136,3469.49
SELL,0,0,9,0,0,0.000,AAA,28.07,119,3340.15
BUY,0,0,10,0,0,0.000,AAA,25.94,94,2438.82
BUY,0,0,11,0,0,0.000,AAA,17.03,438,7460.25
BUY,0,0,12,0,0,0.000,AAA,15.16,121,1834.05
BUY,0,0,13,0,0,0.000,AAA,12.70,177,2247.05
SELL,0,0,14,0,0,0.000,AAA,18.75,483,9058.18
SELL,0,0,15,0,0,0.000,AAA,24.66,379,9345.88
SELL,0,0,16,0,0,0.000,AAA,27.13,127,3445.22
BUY,0,0,17,0,0,0.000,AAA,18.16,433,7861.88
BUY,0,0,18,0,0,0.000,AAA,15.48,174,2692.81
SELL,0,0,19,0,0,0.000,AAA,17.03,112,1907.39
SELL,0,0,20,0,0,0.000,AAA,17.96,64,1149.34
SELL,0,0,21,0,0,0.000,AAA,26.94,604,16271.89
BUY,0,0,22,0,0,0.000,AAA,21.49,247,5308.10
BUY,0,0,23,0,0,0.000,AAA,9.52,671,6389.82
SELL,0,0,24,0,0,0.000,AAA,12.62,258,3256.12
SELL,0,0,25,0,0,0.000,AAA,20.89,611,12763.01
BUY,0,0,26,0,0,0.000,AAA,19.43,73,1418.22
SELL,0,0,27,0,0,0.000,AAA,25.45,320,8143.26
SELL,0,0,28,0,0,0.000,AAA,25.55,3,76.64
SELL,0,0,29,0,0,0.000,AAA,26.47,37,979.24
SELL,0,0,30,0,0,0.000,AAA,36.64,388,14215.42
BUY,0,0,31,0,0,0.000,AAA,35.23,31,1092.28
BUY,0,0,32,0,0,0.000,AAA,27.39,187,5122.32
SELL,0,0,33,0,0,0.000,AAA,29.70,71,2108.63
BUY,0,0,34,0,0,0.000,AAA,24.58,145,3563.98
SELL,0,0,35,0,0,0.000,AAA,27.81,109,3031.69
SELL,0,0,36,0,0,0.000,AAA,35.74,232,8291.43
BUY,0,0,37,0,0,0.000,AAA,30.93,98,3030.93
SELL,0,0,38,0,0,0.000,AAA,34.24,79,2704.92
SELL,0,0,39,0,0,0.000,AAA,42.72,175,7475.51
SELL,0,0,40,0,0,0.000,AAA,45.83,43,1970.55
BUY,0,0,41,0,0,0.000,AAA,34.21,143,4891.43
BUY,0,0,42,0,0,0.000,AAA,30.78,59,1815.74
BUY,0,0,43,0,0,0.000,AAA,27.04,73,1974.02
SELL,0,0,44,0,0,0.000,AAA,31.06,89,2764.00
BUY,0,0,45,0,0,0.000,AAA,23.55,142,3343.77
BUY,0,0,46,0,0,0.000,AAA,22.11,34,751.69
BUY,0,0,47,0,0,0.000,AAA,20.20,48,969.76
SELL,0,0,48,0,0,0.000,AAA,20.91,19,397.20
BUY,0,0,49,0,0,0.000,AAA,12.49,228,2847.78
BUY,0,0,50,0,0,0.000,AAA,4.29,296,1270.34
SELL,0,0,51,0,0,0.000,AAA,9.60,254,2438.09
BUY,0,0,52,0,0,0.000,AAA,6.09,136,828.60
SELL,0,0,53,0,0,0.000,AAA,9.15,136,1244.79
BUY,0,0,54,0,0,0.000,AAA,2.27,274,622.86
BUY,0,0,55,0,0,0.000,AAA,1.94,17,33.01
BUY,0,0,56,0,0,0.000,AAA,1.17,41,47.84
SELL,0,0,57,0,0,0.000,AAA,8.32,397,3303.10
SELL,0,0,58,0,0,0.000,AAA,20.60,480,9889.91
BUY,0,0,59,0,0,0.000,AAA,14.99,107,1603.43
SELL,0,0,60,0,0,0.000,AAA,20.03,120,2404.18
SELL,0,0,61,0,0,0.000,AAA,23.55,65,1530.58
BUY,0,0,62,0,0,0.000,AAA,22.19,21,465.89
BUY,0,0,63,0,0,0.000,AAA,19.55,44,860.36
BUY,0,0,64,0,0,0.000,AAA,15.32,80,1225.36
BUY,0,0,65,0,0,0.000,AAA,14.75,12,177.02
BUY,0,0,66,0,0,0.000,AAA,10.80,91,983.00
BUY,0,0,67,0,0,0.000,AAA,6.86,107,734.17
SELL,0,0,68,0,0,0.000,AAA,8.19,42,343.78
SELL,0,0,69,0,0,0.000,AAA,9.45,38,359.20
SELL,0,0,70,0,0,0.000,AAA,10.41,27,280.97
SELL,0,0,71,0,0,0.000,AAA,11.04,17,187.69
BUY,0,0,72,0,0,0.000,AAA,9.64,38,366.33
BUY,0,0,73,0,0,0.000,AAA,3.02,196,591.98
BUY,0,0,74,0,0,0.000,AAA,0.23,109,25.43
SELL,0,0,75,0,0,0.000,AAA,2.90,119,344.55
BUY,0,0,76,0,0,0.000,AAA,1.73,46,79.59
BUY,0,0,77,0,0,0.000,AAA,1.24,20,24.80
