Transaction,Year,Month,Day,Hour,Minute,Second,Symbol,Price,Shares,Total
BUY,0,0,0,0,0,0.000,GIS,1.35,3703,4999.05
SELL,0,0,2,0,0,0.000,GIS,1.37,54,73.98
BUY,0,0,3,0,0,0.000,GIS,1.35,54,72.90
BUY,0,0,4,0,0,0.000,GIS,1.32,82,108.24
SELL,0,0,5,0,0,0.000,GIS,1.35,82,110.70
SELL,0,0,6,0,0,0.000,GIS,1.37,54,73.98
SELL,0,0,7,0,0,0.000,GIS,1.39,54,75.06
BUY,0,0,8,0,0,0.000,GIS,1.37,54,73.98
SELL,0,0,9,0,0,0.000,GIS,1.38,27,37.26
BUY,0,0,10,0,0,0.000,GIS,1.37,27,36.99
BUY,0,0,11,0,0,0.000,GIS,1.36,27,36.72
BUY,0,0,12,0,0,0.000,GIS,1.35,27,36.45
BUY,0,0,13,0,0,0.000,GIS,1.31,109,142.79
SELL,0,0,14,0,0,0.000,GIS,1.36,137,186.32
SELL,0,0,15,0,0,0.000,GIS,1.37,27,36.99
SELL,0,0,17,0,0,0.000,GIS,1.38,27,37.26
BUY,0,0,18,0,0,0.000,GIS,1.36,54,73.44
SELL,0,0,19,0,0,0.000,GIS,1.37,27,36.99
SELL,0,0,20,0,0,0.000,GIS,1.38,27,37.26
BUY,0,0,22,0,0,0.000,GIS,1.36,54,73.44
BUY,0,0,23,0,0,0.000,GIS,1.35,27,36.45
BUY,0,0,24,0,0,0.000,GIS,1.33,54,71.82
BUY,0,0,25,0,0,0.000,GIS,1.32,27,35.64
BUY,0,0,26,0,0,0.000,GIS,1.31,27,35.37
BUY,0,0,27,0,0,0.000,GIS,1.30,27,35.10
SELL,0,0,28,0,0,0.000,GIS,1.32,54,71.28
BUY,0,0,29,0,0,0.000,GIS,1.31,27,35.37
BUY,0,0,31,0,0,0.000,GIS,1.28,82,104.96
SELL,0,0,32,0,0,0.000,GIS,1.29,27,34.83
SELL,0,0,33,0,0,0.000,GIS,1.30,27,35.10
BUY,0,0,35,0,0,0.000,GIS,1.27,82,104.14
SELL,0,0,37,0,0,0.000,GIS,1.28,27,34.56
BUY,0,0,39,0,0,0.000,GIS,1.26,54,68.04
SELL,0,0,40,0,0,0.000,GIS,1.27,27,34.29
BUY,0,0,41,0,0,0.000,GIS,1.25,54,67.50
BUY,0,0,42,0,0,0.000,GIS,1.24,27,33.48
SELL,0,0,43,0,0,0.000,GIS,1.25,27,33.75
SELL,0,0,44,0,0,0.000,GIS,1.26,27,34.02
SELL,0,0,45,0,0,0.000,GIS,1.27,27,34.29
BUY,0,0,46,0,0,0.000,GIS,1.26,27,34.02
BUY,0,0,47,0,0,0.000,GIS,1.23,82,100.86
BUY,0,0,49,0,0,0.000,GIS,1.21,54,65.34
BUY,0,0,53,0,0,0.000,GIS,1.20,27,32.40
SELL,0,0,54,0,0,0.000,GIS,1.21,27,32.67
BUY,0,0,55,0,0,0.000,GIS,1.20,27,32.40
SELL,0,0,57,0,0,0.000,GIS,1.25,137,171.25
SELL,0,0,58,0,0,0.000,GIS,1.26,27,34.02
SELL,0,0,59,0,0,0.000,GIS,1.28,54,69.12
SELL,0,0,60,0,0,0.000,GIS,1.29,27,34.83
SELL,0,0,61,0,0,0.000,GIS,1.30,27,35.10
BUY,0,0,62,0,0,0.000,GIS,1.28,54,69.12
SELL,0,0,63,0,0,0.000,GIS,1.29,27,34.83
BUY,0,0,65,0,0,0.000,GIS,1.28,27,34.56
SELL,0,0,66,0,0,0.000,GIS,1.30,54,70.20
SELL,0,0,68,0,0,0.000,GIS,1.32,54,71.28
SELL,0,0,69,0,0,0.000,GIS,1.37,137,187.69
BUY,0,0,71,0,0,0.000,GIS,1.36,27,36.72
BUY,0,0,72,0,0,0.000,GIS,1.31,137,179.47
SELL,0,0,73,0,0,0.000,GIS,1.32,27,35.64
BUY,0,0,74,0,0,0.000,GIS,1.29,82,105.78
SELL,0,0,75,0,0,0.000,GIS,1.31,54,70.74
BUY,0,0,76,0,0,0.000,GIS,1.29,54,69.66
BUY,0,0,77,0,0,0.000,GIS,1.23,164,201.72
BUY,0,0,78,0,0,0.000,GIS,1.21,54,65.34
SELL,0,0,80,0,0,0.000,GIS,1.22,27,32.94
SELL,0,0,81,0,0,0.000,GIS,1.24,54,66.96
SELL,0,0,82,0,0,0.000,GIS,1.29,137,176.73
SELL,0,0,83,0,0,0.000,GIS,1.31,54,70.74
SELL,0,0,84,0,0,0.000,GIS,1.34,82,109.88
BUY,0,0,86,0,0,0.000,GIS,1.32,54,71.28
BUY,0,0,87,0,0,0.000,GIS,1.29,82,105.78
BUY,0,0,89,0,0,0.000,GIS,1.28,27,34.56
SELL,0,0,90,0,0,0.000,GIS,1.30,54,70.20
BUY,0,0,91,0,0,0.000,GIS,1.28,54,69.12
SELL,0,0,93,0,0,0.000,GIS,1.29,27,34.83
BUY,0,0,94,0,0,0.000,GIS,1.28,27,34.56
SELL,0,0,96,0,0,0.000,GIS,1.29,27,34.83
SELL,0,0,97,0,0,0.000,GIS,1.30,27,35.10
SELL,0,0,98,0,0,0.000,GIS,1.34,109,146.06
SELL,0,0,100,0,0,0.000,GIS,1.35,27,36.45
BUY,0,0,101,0,0,0.000,GIS,1.33,54,71.82
SELL,0,0,102,0,0,0.000,GIS,1.34,27,36.18
BUY,0,0,103,0,0,0.000,GIS,1.33,27,35.91
SELL,0,0,104,0,0,0.000,GIS,1.34,27,36.18
BUY,0,0,105,0,0,0.000,GIS,1.33,27,35.91
BUY,0,0,106,0,0,0.000,GIS,1.31,54,70.74
SELL,0,0,107,0,0,0.000,GIS,1.35,109,147.15
SELL,0,0,109,0,0,0.000,GIS,1.39,109,151.51
SELL,0,0,110,0,0,0.000,GIS,1.43,109,155.87
BUY,0,0,111,0,0,0.000,GIS,1.40,82,114.80
SELL,0,0,112,0,0,0.000,GIS,1.41,27,38.07
BUY,0,0,113,0,0,0.000,GIS,1.39,54,75.06
BUY,0,0,114,0,0,0.000,GIS,1.36,82,111.52
BUY,0,0,115,0,0,0.000,GIS,1.35,27,36.45
BUY,0,0,116,0,0,0.000,GIS,1.34,27,36.18
BUY,0,0,119,0,0,0.000,GIS,1.33,27,35.91
SELL,0,0,122,0,0,0.000,GIS,1.34,27,36.18
SELL,0,0,124,0,0,0.000,GIS,1.36,54,73.44
BUY,0,0,126,0,0,0.000,GIS,1.35,27,36.45
BUY,0,0,127,0,0,0.000,GIS,1.34,27,36.18
BUY,0,0,128,0,0,0.000,GIS,1.33,27,35.91
SELL,0,0,129,0,0,0.000,GIS,1.34,27,36.18
SELL,0,0,133,0,0,0.000,GIS,1.36,54,73.44
BUY,0,0,135,0,0,0.000,GIS,1.34,54,72.36
BUY,0,0,136,0,0,0.000,GIS,1.33,27,35.91
