Transaction,Year,Month,Day,Hour,Minute,Second,Symbol,Price,Shares,Total
BUY,0,0,0,0,0,0.000,XOM,1.22,4098,4999.56
SELL,0,0,3,0,0,0.000,XOM,1.26,133,167.58
SELL,0,0,4,0,0,0.000,XOM,1.31,159,208.29
BUY,0,0,5,0,0,0.000,XOM,1.29,60,77.40
BUY,0,0,6,0,0,0.000,XOM,1.27,61,77.47
BUY,0,0,7,0,0,0.000,XOM,1.26,31,39.06
BUY,0,0,8,0,0,0.000,XOM,1.24,63,78.12
SELL,0,0,10,0,0,0.000,XOM,1.25,32,40.00
BUY,0,0,11,0,0,0.000,XOM,1.24,31,38.44
SELL,0,0,12,0,0,0.000,XOM,1.25,32,40.00
SELL,0,0,14,0,0,0.000,XOM,1.26,31,39.06
BUY,0,0,16,0,0,0.000,XOM,1.25,31,38.75
BUY,0,0,17,0,0,0.000,XOM,1.22,95,115.90
BUY,0,0,18,0,0,0.000,XOM,1.19,98,116.62
SELL,0,0,19,0,0,0.000,XOM,1.20,33,39.60
SELL,0,0,21,0,0,0.000,XOM,1.23,100,123.00
BUY,0,0,22,0,0,0.000,XOM,1.21,65,78.65
SELL,0,0,23,0,0,0.000,XOM,1.24,99,122.76
BUY,0,0,25,0,0,0.000,XOM,1.23,32,39.36
BUY,0,0,26,0,0,0.000,XOM,1.21,65,78.65
BUY,0,0,27,0,0,0.000,XOM,1.20,33,39.60
BUY,0,0,28,0,0,0.000,XOM,1.19,33,39.27
BUY,0,0,29,0,0,0.000,XOM,1.18,33,38.94
SELL,0,0,31,0,0,0.000,XOM,1.20,68,81.60
BUY,0,0,32,0,0,0.000,XOM,1.19,33,39.27
SELL,0,0,33,0,0,0.000,XOM,1.20,33,39.60
BUY,0,0,35,0,0,0.000,XOM,1.17,101,118.17
SELL,0,0,36,0,0,0.000,XOM,1.19,69,82.11
BUY,0,0,37,0,0,0.000,XOM,1.18,34,40.12
SELL,0,0,38,0,0,0.000,XOM,1.19,34,40.46
BUY,0,0,39,0,0,0.000,XOM,1.18,34,40.12
BUY,0,0,40,0,0,0.000,XOM,1.15,103,118.45
BUY,0,0,42,0,0,0.000,XOM,1.12,106,118.72
SELL,0,0,43,0,0,0.000,XOM,1.13,36,40.68
