Transaction,Year,Month,Day,Hour,Minute,Second,Symbol,Price,Shares,Total
BUY,0,0,0,0,0,0.000,GIS,1.35,3703,4999.05
SELL,0,0,2,0,0,0.000,GIS,1.37,54,73.98
BUY,0,0,3,0,0,0.000,GIS,1.35,53,71.55
BUY,0,0,4,0,0,0.000,GIS,1.32,82,108.24
SELL,0,0,5,0,0,0.000,GIS,1.35,84,113.40
SELL,0,0,6,0,0,0.000,GIS,1.37,54,73.98
SELL,0,0,7,0,0,0.000,GIS,1.39,53,73.67
BUY,0,0,8,0,0,0.000,GIS,1.37,52,71.24
SELL,0,0,9,0,0,0.000,GIS,1.38,26,35.88
BUY,0,0,10,0,0,0.000,GIS,1.37,26,35.62
BUY,0,0,11,0,0,0.000,GIS,1.36,26,35.36
BUY,0,0,12,0,0,0.000,GIS,1.35,26,35.10
BUY,0,0,13,0,0,0.000,GIS,1.31,109,142.79
SELL,0,0,14,0,0,0.000,GIS,1.36,140,190.40
SELL,0,0,15,0,0,0.000,GIS,1.37,27,36.99
SELL,0,0,17,0,0,0.000,GIS,1.38,26,35.88
BUY,0,0,18,0,0,0.000,GIS,1.36,53,72.08
SELL,0,0,19,0,0,0.000,GIS,1.37,26,35.62
SELL,0,0,20,0,0,0.000,GIS,1.38,26,35.88
BUY,0,0,22,0,0,0.000,GIS,1.36,53,72.08
BUY,0,0,23,0,0,0.000,GIS,1.35,26,35.10
BUY,0,0,24,0,0,0.000,GIS,1.33,54,71.82
BUY,0,0,25,0,0,0.000,GIS,1.32,27,35.64
BUY,0,0,26,0,0,0.000,GIS,1.31,27,35.37
BUY,0,0,27,0,0,0.000,GIS,1.30,28,36.40
SELL,0,0,28,0,0,0.000,GIS,1.32,56,73.92
BUY,0,0,29,0,0,0.000,GIS,1.31,27,35.37
BUY,0,0,31,0,0,0.000,GIS,1.28,84,107.52
SELL,0,0,32,0,0,0.000,GIS,1.29,28,36.12
SELL,0,0,33,0,0,0.000,GIS,1.30,28,36.40
BUY,0,0,35,0,0,0.000,GIS,1.27,85,107.95
SELL,0,0,37,0,0,0.000,GIS,1.28,29,37.12
BUY,0,0,39,0,0,0.000,GIS,1.26,58,73.08
SELL,0,0,40,0,0,0.000,GIS,1.27,29,36.83
BUY,0,0,41,0,0,0.000,GIS,1.25,58,72.50
BUY,0,0,42,0,0,0.000,GIS,1.24,29,35.96
SELL,0,0,43,0,0,0.000,GIS,1.25,30,37.50
SELL,0,0,44,0,0,0.000,GIS,1.26,29,36.54
SELL,0,0,45,0,0,0.000,GIS,1.27,29,36.83
BUY,0,0,46,0,0,0.000,GIS,1.26,29,36.54
BUY,0,0,47,0,0,0.000,GIS,1.23,89,109.47
BUY,0,0,49,0,0,0.000,GIS,1.21,61,73.81
BUY,0,0,53,0,0,0.000,GIS,1.20,31,37.20
SELL,0,0,54,0,0,0.000,GIS,1.21,31,37.51
BUY,0,0,55,0,0,0.000,GIS,1.20,31,37.20
SELL,0,0,57,0,0,0.000,GIS,1.25,158,197.50
SELL,0,0,58,0,0,0.000,GIS,1.26,30,37.80
SELL,0,0,59,0,0,0.000,GIS,1.28,60,76.80
SELL,0,0,60,0,0,0.000,GIS,1.29,29,37.41
SELL,0,0,61,0,0,0.000,GIS,1.30,29,37.70
BUY,0,0,62,0,0,0.000,GIS,1.28,58,74.24
SELL,0,0,63,0,0,0.000,GIS,1.29,29,37.41
BUY,0,0,65,0,0,0.000,GIS,1.28,29,37.12
SELL,0,0,66,0,0,0.000,GIS,1.30,59,76.70
SELL,0,0,68,0,0,0.000,GIS,1.32,58,76.56
SELL,0,0,69,0,0,0.000,GIS,1.37,144,197.28
BUY,0,0,71,0,0,0.000,GIS,1.36,27,36.72
BUY,0,0,72,0,0,0.000,GIS,1.31,139,182.09
SELL,0,0,73,0,0,0.000,GIS,1.32,28,36.96
BUY,0,0,74,0,0,0.000,GIS,1.29,86,110.94
SELL,0,0,75,0,0,0.000,GIS,1.31,58,75.98
BUY,0,0,76,0,0,0.000,GIS,1.29,57,73.53
BUY,0,0,77,0,0,0.000,GIS,1.23,176,216.48
BUY,0,0,78,0,0,0.000,GIS,1.21,61,73.81
SELL,0,0,80,0,0,0.000,GIS,1.22,31,37.82
SELL,0,0,81,0,0,0.000,GIS,1.24,62,76.88
SELL,0,0,82,0,0,0.000,GIS,1.29,153,197.37
SELL,0,0,83,0,0,0.000,GIS,1.31,58,75.98
SELL,0,0,84,0,0,0.000,GIS,1.34,87,116.58
BUY,0,0,86,0,0,0.000,GIS,1.32,56,73.92
BUY,0,0,87,0,0,0.000,GIS,1.29,86,110.94
BUY,0,0,89,0,0,0.000,GIS,1.28,29,37.12
SELL,0,0,90,0,0,0.000,GIS,1.30,59,76.70
BUY,0,0,91,0,0,0.000,GIS,1.28,58,74.24
SELL,0,0,93,0,0,0.000,GIS,1.29,29,37.41
BUY,0,0,94,0,0,0.000,GIS,1.28,29,37.12
SELL,0,0,96,0,0,0.000,GIS,1.29,29,37.41
SELL,0,0,97,0,0,0.000,GIS,1.30,29,37.70
SELL,0,0,98,0,0,0.000,GIS,1.34,116,155.44
SELL,0,0,100,0,0,0.000,GIS,1.35,28,37.80
BUY,0,0,101,0,0,0.000,GIS,1.33,56,74.48
SELL,0,0,102,0,0,0.000,GIS,1.34,28,37.52
BUY,0,0,103,0,0,0.000,GIS,1.33,28,37.24
SELL,0,0,104,0,0,0.000,GIS,1.34,28,37.52
BUY,0,0,105,0,0,0.000,GIS,1.33,28,37.24
BUY,0,0,106,0,0,0.000,GIS,1.31,57,74.67
SELL,0,0,107,0,0,0.000,GIS,1.35,116,156.60
SELL,0,0,109,0,0,0.000,GIS,1.39,112,155.68
SELL,0,0,110,0,0,0.000,GIS,1.43,108,154.44
BUY,0,0,111,0,0,0.000,GIS,1.40,79,110.60
SELL,0,0,112,0,0,0.000,GIS,1.41,26,36.66
BUY,0,0,113,0,0,0.000,GIS,1.39,53,73.67
BUY,0,0,114,0,0,0.000,GIS,1.36,81,110.16
BUY,0,0,115,0,0,0.000,GIS,1.35,27,36.45
BUY,0,0,116,0,0,0.000,GIS,1.34,28,37.52
BUY,0,0,119,0,0,0.000,GIS,1.33,28,37.24
SELL,0,0,122,0,0,0.000,GIS,1.34,28,37.52
SELL,0,0,124,0,0,0.000,GIS,1.36,56,76.16
BUY,0,0,126,0,0,0.000,GIS,1.35,27,36.45
BUY,0,0,127,0,0,0.000,GIS,1.34,28,37.52
BUY,0,0,128,0,0,0.000,GIS,1.33,28,37.24
SELL,0,0,129,0,0,0.000,GIS,1.34,28,37.52
SELL,0,0,133,0,0,0.000,GIS,1.36,56,76.16
BUY,0,0,135,0,0,0.000,GIS,1.34,55,73.70
BUY,0,0,136,0,0,0.000,GIS,1.33,28,37.24
