Transaction,Year,Month,Day,Hour,Minute,Second,Symbol,Price,Shares,Total
BUY,0,0,0,0,0,0.000,GIS,1.35,1000,1350.00
BUY,0,0,1,0,0,0.000,GIS,1.26,71,89.23
SELL,0,0,2,0,0,0.000,GIS,1.38,102,141.11
BUY,0,0,3,0,0,0.000,GIS,1.32,45,59.42
SELL,0,0,4,0,0,0.000,GIS,1.52,146,221.66
SELL,0,0,5,0,0,0.000,GIS,1.57,31,48.65
BUY,0,0,6,0,0,0.000,GIS,1.43,82,117.31
BUY,0,0,7,0,0,0.000,GIS,1.28,102,130.09
SELL,0,0,8,0,0,0.000,GIS,1.38,74,101.86
SELL,0,0,9,0,0,0.000,GIS,1.50,87,130.93
BUY,0,0,10,0,0,0.000,GIS,1.43,44,63.01
BUY,0,0,11,0,0,0.000,GIS,1.24,121,150.62
BUY,0,0,13,0,0,0.000,GIS,1.15,67,77.37
BUY,0,0,16,0,0,0.000,GIS,1.13,20,22.61
BUY,0,0,17,0,0,0.000,GIS,0.99,116,115.26
BUY,0,0,18,0,0,0.000,GIS,0.92,68,62.72
SELL,0,0,19,0,0,0.000,GIS,1.03,105,107.73
SELL,0,0,20,0,0,0.000,GIS,1.07,42,44.99
SELL,0,0,21,0,0,0.000,GIS,1.09,18,19.65
SELL,0,0,22,0,0,0.000,GIS,1.19,92,109.83
SELL,0,0,24,0,0,0.000,GIS,1.34,124,166.59
SELL,0,0,25,0,0,0.000,GIS,1.46,87,127.32
BUY,0,0,26,0,0,0.000,GIS,1.36,68,92.43
BUY,0,0,27,0,0,0.000,GIS,1.26,72,90.48
SELL,0,0,28,0,0,0.000,GIS,1.52,201,305.99
BUY,0,0,29,0,0,0.000,GIS,1.43,57,81.29
SELL,0,0,30,0,0,0.000,GIS,1.46,24,35.16
SELL,0,0,31,0,0,0.000,GIS,1.53,38,58.02
BUY,0,0,32,0,0,0.000,GIS,1.42,63,89.42
BUY,0,0,33,0,0,0.000,GIS,1.33,55,73.23
SELL,0,0,34,0,0,0.000,GIS,1.39,38,52.76
SELL,0,0,36,0,0,0.000,GIS,1.46,43,62.58
SELL,0,0,37,0,0,0.000,GIS,1.63,104,169.33
BUY,0,0,38,0,0,0.000,GIS,1.55,40,62.05
SELL,0,0,39,0,0,0.000,GIS,1.73,101,175.17
SELL,0,0,40,0,0,0.000,GIS,1.78,23,41.04
BUY,0,0,41,0,0,0.000,GIS,1.64,66,108.13
BUY,0,0,42,0,0,0.000,GIS,1.47,82,120.90
BUY,0,0,43,0,0,0.000,GIS,1.32,85,112.35
SELL,0,0,44,0,0,0.000,GIS,1.49,104,154.91
BUY,0,0,45,0,0,0.000,GIS,1.24,138,170.62
BUY,0,0,46,0,0,0.000,GIS,0.99,160,158.57
SELL,0,0,47,0,0,0.000,GIS,1.11,89,98.45
SELL,0,0,48,0,0,0.000,GIS,1.22,84,102.90
BUY,0,0,49,0,0,0.000,GIS,1.18,29,34.22
BUY,0,0,50,0,0,0.000,GIS,1.07,74,79.09
SELL,0,0,51,0,0,0.000,GIS,1.20,96,115.25
SELL,0,0,52,0,0,0.000,GIS,1.36,105,142.97
SELL,0,0,53,0,0,0.000,GIS,1.41,26,36.59
SELL,0,0,58,0,0,0.000,GIS,1.61,109,174.99
SELL,0,0,59,0,0,0.000,GIS,1.72,55,94.84
BUY,0,0,61,0,0,0.000,GIS,1.67,24,39.98
BUY,0,0,62,0,0,0.000,GIS,1.57,40,62.95
BUY,0,0,63,0,0,0.000,GIS,1.47,49,72.00
BUY,0,0,64,0,0,0.000,GIS,1.40,36,50.30
BUY,0,0,65,0,0,0.000,GIS,1.26,71,89.69
SELL,0,0,66,0,0,0.000,GIS,1.31,29,38.07
BUY,0,0,67,0,0,0.000,GIS,1.27,26,32.92
SELL,0,0,68,0,0,0.000,GIS,1.35,47,63.31
SELL,0,0,69,0,0,0.000,GIS,1.56,119,186.11
SELL,0,0,70,0,0,0.000,GIS,1.59,12,19.10
BUY,0,0,71,0,0,0.000,GIS,1.43,71,101.73
BUY,0,0,72,0,0,0.000,GIS,1.23,100,123.38
SELL,0,0,74,0,0,0.000,GIS,1.34,64,86.07
SELL,0,0,76,0,0,0.000,GIS,1.39,21,29.09
SELL,0,0,77,0,0,0.000,GIS,1.49,53,78.87
SELL,0,0,78,0,0,0.000,GIS,1.52,14,21.27
BUY,0,0,79,0,0,0.000,GIS,1.49,12,17.91
SELL,0,0,80,0,0,0.000,GIS,1.57,34,53.22
BUY,0,0,81,0,0,0.000,GIS,1.37,88,120.27
SELL,0,0,82,0,0,0.000,GIS,1.58,109,172.25
SELL,0,0,84,0,0,0.000,GIS,1.61,14,22.59
SELL,0,0,86,0,0,0.000,GIS,1.72,45,77.49
SELL,0,0,87,0,0,0.000,GIS,1.83,43,78.89
SELL,0,0,88,0,0,0.000,GIS,1.89,19,35.90
SELL,0,0,89,0,0,0.000,GIS,1.93,12,23.11
BUY,0,0,90,0,0,0.000,GIS,1.65,89,146.97
SELL,0,0,91,0,0,0.000,GIS,1.69,15,25.37
BUY,0,0,93,0,0,0.000,GIS,1.66,10,16.63
SELL,0,0,94,0,0,0.000,GIS,1.69,11,18.63
BUY,0,0,96,0,0,0.000,GIS,1.58,42,66.40
BUY,0,0,97,0,0,0.000,GIS,1.24,136,169.14
SELL,0,0,98,0,0,0.000,GIS,1.28,19,24.36
BUY,0,0,99,0,0,0.000,GIS,1.20,38,45.75
BUY,0,0,100,0,0,0.000,GIS,1.16,23,26.62
BUY,0,0,101,0,0,0.000,GIS,0.91,131,119.43
BUY,0,0,102,0,0,0.000,GIS,0.86,34,29.11
BUY,0,0,103,0,0,0.000,GIS,0.77,58,44.47
SELL,0,0,104,0,0,0.000,GIS,0.79,13,10.21
SELL,0,0,105,0,0,0.000,GIS,0.90,81,73.09
SELL,0,0,106,0,0,0.000,GIS,0.96,39,37.59
SELL,0,0,107,0,0,0.000,GIS,1.09,74,80.29
SELL,0,0,108,0,0,0.000,GIS,1.15,34,39.02
SELL,0,0,109,0,0,0.000,GIS,1.29,74,95.29
SELL,0,0,110,0,0,0.000,GIS,1.53,117,179.32
BUY,0,0,111,0,0,0.000,GIS,1.50,13,19.46
SELL,0,0,112,0,0,0.000,GIS,1.62,50,81.15
SELL,0,0,113,0,0,0.000,GIS,1.89,95,179.14
BUY,0,0,114,0,0,0.000,GIS,1.79,26,46.67
SELL,0,0,115,0,0,0.000,GIS,1.99,59,117.20
SELL,0,0,116,0,0,0.000,GIS,2.12,34,71.98
BUY,0,0,118,0,0,0.000,GIS,1.97,34,67.12
SELL,0,0,119,0,0,0.000,GIS,2.09,31,64.93
BUY,0,0,120,0,0,0.000,GIS,1.98,27,53.42
SELL,0,0,121,0,0,0.000,GIS,2.21,60,132.84
SELL,0,0,122,0,0,0.000,GIS,2.27,11,24.96
BUY,0,0,123,0,0,0.000,GIS,2.08,38,79.13
SELL,0,0,124,0,0,0.000,GIS,2.19,24,52.55
BUY,0,0,127,0,0,0.000,GIS,2.13,12,25.54
SELL,0,0,128,0,0,0.000,GIS,2.23,21,46.79
SELL,0,0,129,0,0,0.000,GIS,2.48,50,123.90
BUY,0,0,130,0,0,0.000,GIS,2.37,18,42.61
BUY,0,0,132,0,0,0.000,GIS,2.24,22,49.22
BUY,0,0,133,0,0,0.000,GIS,2.08,30,62.31
SELL,0,0,134,0,0,0.000,GIS,2.13,10,21.26
BUY,0,0,135,0,0,0.000,GIS,2.00,24,48.09
BUY,0,0,136,0,0,0.000,GIS,1.81,41,74.29
BUY,0,0,139,0,0,0.000,GIS,1.62,45,73.09
SELL,0,0,141,0,0,0.000,GIS,1.70,21,35.80
SELL,0,0,142,0,0,0.000,GIS,1.76,14,24.64
SELL,0,0,143,0,0,0.000,GIS,1.83,17,31.15
SELL,0,0,145,0,0,0.000,GIS,2.10,62,130.04
SELL,0,0,146,0,0,0.000,GIS,2.21,21,46.42
SELL,0,0,147,0,0,0.000,GIS,2.30,16,36.85
BUY,0,0,149,0,0,0.000,GIS,2.00,51,101.85
SELL,0,0,150,0,0,0.000,GIS,2.14,28,59.90
BUY,0,0,152,0,0,0.000,GIS,2.05,16,32.78
BUY,0,0,153,0,0,0.000,GIS,1.96,16,31.37
BUY,0,0,154,0,0,0.000,GIS,1.70,51,86.55
SELL,0,0,157,0,0,0.000,GIS,1.83,29,52.94
BUY,0,0,159,0,0,0.000,GIS,1.51,66,99.37
BUY,0,0,160,0,0,0.000,GIS,1.46,10,14.65
BUY,0,0,161,0,0,0.000,GIS,1.41,14,19.69
SELL,0,0,162,0,0,0.000,GIS,1.54,35,53.97
BUY,0,0,163,0,0,0.000,GIS,1.45,22,31.85
BUY,0,0,164,0,0,0.000,GIS,1.39,14,19.48
BUY,0,0,165,0,0,0.000,GIS,1.30,24,31.19
BUY,0,0,166,0,0,0.000,GIS,1.09,56,61.30
SELL,0,0,167,0,0,0.000,GIS,1.15,16,18.36
SELL,0,0,168,0,0,0.000,GIS,1.25,29,36.14
SELL,0,0,169,0,0,0.000,GIS,1.42,50,71.12
SELL,0,0,170,0,0,0.000,GIS,1.48,15,22.22
BUY,0,0,171,0,0,0.000,GIS,1.41,16,22.63
BUY,0,0,172,0,0,0.000,GIS,1.31,26,34.12
SELL,0,0,173,0,0,0.000,GIS,1.35,9,12.11
SELL,0,0,175,0,0,0.000,GIS,1.48,36,53.35
BUY,0,0,176,0,0,0.000,GIS,1.40,19,26.62
SELL,0,0,177,0,0,0.000,GIS,1.57,42,65.84
SELL,0,0,178,0,0,0.000,GIS,1.68,27,45.49
SELL,0,0,179,0,0,0.000,GIS,1.93,52,100.48
BUY,0,0,180,0,0,0.000,GIS,1.80,23,41.46
BUY,0,0,181,0,0,0.000,GIS,1.53,54,82.41
SELL,0,0,182,0,0,0.000,GIS,1.75,51,89.32
SELL,0,0,183,0,0,0.000,GIS,1.87,23,43.02
BUY,0,0,185,0,0,0.000,GIS,1.80,12,21.60
BUY,0,0,187,0,0,0.000,GIS,1.59,39,62.07
BUY,0,0,188,0,0,0.000,GIS,1.54,10,15.44
BUY,0,0,189,0,0,0.000,GIS,1.36,41,55.56
BUY,0,0,190,0,0,0.000,GIS,1.28,18,23.06
SELL,0,0,192,0,0,0.000,GIS,1.41,34,48.06
BUY,0,0,193,0,0,0.000,GIS,1.30,25,32.62
BUY,0,0,194,0,0,0.000,GIS,1.15,40,45.83
SELL,0,0,195,0,0,0.000,GIS,1.23,23,28.31
SELL,0,0,196,0,0,0.000,GIS,1.32,24,31.73
BUY,0,0,197,0,0,0.000,GIS,1.21,28,33.80
SELL,0,0,198,0,0,0.000,GIS,1.31,27,35.39
BUY,0,0,199,0,0,0.000,GIS,1.22,22,26.83
SELL,0,0,200,0,0,0.000,GIS,1.26,11,13.89
BUY,0,0,201,0,0,0.000,GIS,1.12,37,41.35
BUY,0,0,202,0,0,0.000,GIS,1.02,27,27.52
SELL,0,0,204,0,0,0.000,GIS,1.15,37,42.47
BUY,0,0,205,0,0,0.000,GIS,0.85,79,67.48
SELL,0,0,206,0,0,0.000,GIS,1.01,48,48.28
SELL,0,0,208,0,0,0.000,GIS,1.05,14,14.77
BUY,0,0,209,0,0,0.000,GIS,1.00,15,14.99
BUY,0,0,210,0,0,0.000,GIS,0.86,40,34.45
SELL,0,0,211,0,0,0.000,GIS,1.04,57,59.47
BUY,0,0,212,0,0,0.000,GIS,0.92,34,31.35
SELL,0,0,213,0,0,0.000,GIS,0.98,18,17.66
SELL,0,0,214,0,0,0.000,GIS,1.12,41,45.99
BUY,0,0,215,0,0,0.000,GIS,1.01,29,29.40
BUY,0,0,218,0,0,0.000,GIS,0.96,16,15.35
SELL,0,0,219,0,0,0.000,GIS,1.12,49,54.91
BUY,0,0,220,0,0,0.000,GIS,1.08,10,10.84
SELL,0,0,224,0,0,0.000,GIS,1.37,83,113.50
BUY,0,0,225,0,0,0.000,GIS,1.27,24,30.39
SELL,0,0,228,0,0,0.000,GIS,1.33,16,21.27
SELL,0,0,231,0,0,0.000,GIS,1.56,59,92.23
BUY,0,0,232,0,0,0.000,GIS,1.30,56,72.98
BUY,0,0,233,0,0,0.000,GIS,1.19,28,33.42
BUY,0,0,234,0,0,0.000,GIS,1.10,24,26.52
BUY,0,0,236,0,0,0.000,GIS,1.04,20,20.74
SELL,0,0,237,0,0,0.000,GIS,1.14,31,35.26
BUY,0,0,239,0,0,0.000,GIS,1.09,13,14.21
SELL,0,0,240,0,0,0.000,GIS,1.16,19,21.99
