Performance Struct Name:,Performance_01
Portfolio Tracked:,Portfolio_01

Year,Month,Day,Total Investment,Total Revenue,Total Value,
0,0,0,1350.00,0.00,1350.00,
0,0,1,1439.23,0.00,1345.94,
0,0,2,1439.23,141.11,1340.52,
0,0,3,1498.65,141.11,1339.03,
0,0,4,1498.65,362.77,1317.82,
0,0,5,1498.65,411.42,1313.67,
0,0,6,1615.96,411.42,1314.74,
0,0,7,1746.06,411.42,1302.21,
0,0,8,1746.06,513.28,1303.54,
0,0,9,1746.06,644.22,1294.29,
0,0,10,1809.06,644.22,1294.49,
0,0,11,1959.68,644.22,1275.91,
0,0,12,1959.68,644.22,1275.91,
0,0,13,2037.05,644.22,1260.96,
0,0,14,2037.05,644.22,1260.96,
0,0,15,2037.05,644.22,1260.96,
0,0,16,2059.66,644.22,1256.97,
0,0,17,2174.92,644.22,1220.18,
0,0,18,2237.63,644.22,1195.29,
0,0,19,2237.63,751.94,1221.92,
0,0,20,2237.63,796.93,1230.83,
0,0,21,2237.63,816.58,1234.70,
0,0,22,2237.63,926.41,1240.34,
0,0,23,2237.63,926.41,1240.34,
0,0,24,2237.63,1093.00,1229.24,
0,0,25,2237.63,1220.32,1211.78,
0,0,26,2330.07,1220.32,1217.94,
0,0,27,2420.54,1220.32,1216.43,
0,0,28,2420.54,1526.31,1167.63,
0,0,29,2501.83,1526.31,1175.11,
0,0,30,2501.83,1561.47,1171.84,
0,0,31,2501.83,1619.48,1163.36,
0,0,32,2591.26,1619.48,1171.02,
0,0,33,2664.49,1619.48,1171.72,
0,0,34,2664.49,1672.25,1169.12,
0,0,35,2664.49,1672.25,1169.12,
0,0,36,2664.49,1734.83,1162.87,
0,0,37,2664.49,1904.16,1131.57,
0,0,38,2726.54,1904.16,1140.24,
0,0,39,2726.54,2079.33,1099.57,
0,0,40,2726.54,2120.37,1090.23,
0,0,41,2834.67,2120.37,1109.14,
0,0,42,2955.57,2120.37,1119.07,
0,0,43,3067.92,2120.37,1115.59,
0,0,44,3067.92,2275.27,1102.22,
0,0,45,3238.54,2275.27,1085.52,
0,0,46,3397.11,2275.27,1028.75,
0,0,47,3397.11,2373.72,1049.72,
0,0,48,3397.11,2476.62,1059.62,
0,0,49,3431.34,2476.62,1055.07,
0,0,50,3510.43,2476.62,1034.56,
0,0,51,3510.43,2591.87,1046.90,
0,0,52,3510.43,2734.84,1044.37,
0,0,53,3510.43,2771.43,1042.75,
0,0,54,3510.43,2771.43,1042.75,
0,0,55,3510.43,2771.43,1042.75,
0,0,56,3510.43,2771.43,1042.75,
0,0,57,3510.43,2771.43,1042.75,
0,0,58,3510.43,2946.42,1014.61,
0,0,59,3510.43,3041.26,995.01,
0,0,60,3510.43,3041.26,995.01,
0,0,61,3550.41,3041.26,1001.20,
0,0,62,3613.36,3041.26,1008.80,
0,0,63,3685.36,3041.26,1013.93,
0,0,64,3735.66,3041.26,1014.31,
0,0,65,3825.35,3041.26,1006.77,
0,0,66,3825.35,3079.33,1008.20,
0,0,67,3858.27,3079.33,1005.44,
0,0,68,3858.27,3142.64,1006.21,
0,0,69,3858.27,3328.76,982.17,
0,0,70,3858.27,3347.85,980.23,
0,0,71,3960.00,3347.85,984.35,
0,0,72,4083.39,3347.85,971.02,
0,0,73,4083.39,3347.85,971.02,
0,0,74,4083.39,3433.92,972.30,
0,0,75,4083.39,3433.92,972.30,
0,0,76,4083.39,3463.01,972.31,
0,0,77,4083.39,3541.87,965.74,
0,0,78,4083.39,3563.14,964.57,
0,0,79,4101.30,3563.14,965.72,
0,0,80,4101.30,3616.36,959.61,
0,0,81,4221.57,3616.36,958.09,
0,0,82,4221.57,3788.61,935.50,
0,0,83,4221.57,3788.61,935.50,
0,0,84,4221.57,3811.20,932.70,
0,0,85,4221.57,3811.20,932.70,
0,0,86,4221.57,3888.69,917.82,
0,0,87,4221.57,3967.58,898.98,
0,0,88,4221.57,4003.48,889.85,
0,0,89,4221.57,4026.59,884.07,
