Transaction,Year,Month,Day,Hour,Minute,Second,Symbol,Price,Shares,Total
BUY,0,0,0,0,0,0.000,AAA,50.00,1000,50000.00
SELL,0,0,1,0,0,0.000,AAA,51.14,22,1125.09
BUY,0,0,2,0,0,0.000,AAA,46.45,93,4319.95
BUY,0,0,3,0,0,0.000,AAA,46.28,3,138.83
BUY,0,0,4,0,0,0.000,AAA,38.88,170,6610.35
SELL,0,0,5,0,0,0.000,AAA,42.80,106,4536.78
SELL,0,0,6,0,0,0.000,AAA,44.96,53,2382.86
BUY,0,0,7,0,0,0.000,AAA,38.53,155,5972.34
BUY,0,0,8,0,0,0.000,AAA,34.92,102,3561.66
SELL,0,0,9,0,0,0.000,AAA,37.31,74,2761.11
SELL,0,0,10,0,0,0.000,AAA,43.18,172,7426.80
SELL,0,0,11,0,0,0.000,AAA,44.20,25,1104.94
BUY,0,0,12,0,0,0.000,AAA,37.17,176,6541.90
BUY,0,0,13,0,0,0.000,AAA,35.32,54,1907.43
BUY,0,0,14,0,0,0.000,AAA,33.52,56,1876.95
SELL,0,0,15,0,0,0.000,AAA,36.58,100,3658.16
BUY,0,0,16,0,0,0.000,AAA,30.75,180,5534.21
BUY,0,0,17,0,0,0.000,AAA,29.77,35,1041.89
SELL,0,0,18,0,0,0.000,AAA,31.23,54,1686.56
BUY,0,0,19,0,0,0.000,AAA,28.84,86,2480.51
BUY,0,0,20,0,0,0.000,AAA,20.63,323,6664.52
BUY,0,0,21,0,0,0.000,AAA,14.73,290,4271.81
SELL,0,0,22,0,0,0.000,AAA,17.71,173,3063.36
BUY,0,0,23,0,0,0.000,AAA,9.60,447,4291.24
SELL,0,0,24,0,0,0.000,AAA,11.03,99,1092.04
SELL,0,0,25,0,0,0.000,AAA,21.83,733,16004.17
SELL,0,0,26,0,0,0.000,AAA,24.20,110,2662.45
SELL,0,0,27,0,0,0.000,AAA,25.57,59,1508.49
BUY,0,0,28,0,0,0.000,AAA,21.17,186,3937.44
BUY,0,0,29,0,0,0.000,AAA,13.19,392,5171.51
BUY,0,0,30,0,0,0.000,AAA,9.18,252,2313.10
BUY,0,0,31,0,0,0.000,AAA,2.89,458,1325.23
SELL,0,0,32,0,0,0.000,AAA,6.23,300,1867.60
SELL,0,0,33,0,0,0.000,AAA,9.16,240,2199.16
BUY,0,0,34,0,0,0.000,AAA,7.19,148,1064.38
BUY,0,0,35,0,0,0.000,AAA,2.78,363,1010.08
BUY,0,0,36,0,0,0.000,AAA,0.93,181,168.50
