Performance Struct Name:,Performance_01
Portfolio Tracked:,Portfolio_01

Year,Month,Day,Total Investment,Total Revenue,Total Value,
0,0,1,45171.46,0.00,43418.91,
0,0,2,45171.46,189.44,44673.63,
0,0,3,45171.46,294.04,45639.78,
0,0,4,45302.96,294.04,47575.82,
0,0,5,45302.96,294.04,47575.82,
0,0,6,45302.96,294.04,47575.82,
0,0,7,45302.96,391.52,40246.12,
0,0,8,45302.96,465.33,39576.30,
0,0,9,45448.45,465.33,41516.02,
0,0,10,45481.10,465.33,45285.32,
0,0,11,45481.10,598.07,49012.79,
0,0,12,45481.10,789.95,57032.46,
0,0,13,45513.55,789.95,60479.78,
0,0,14,45513.55,789.95,60479.78,
0,0,15,45524.15,789.95,59735.15,
0,0,16,45524.15,1082.76,49998.00,
0,0,17,45524.15,1184.78,44399.14,
0,0,18,45591.87,1184.78,44021.59,
0,0,19,45591.87,1337.73,50780.87,
0,0,20,45591.87,1402.83,48336.96,
0,0,21,45591.87,1547.58,47334.55,
0,0,22,45643.66,1547.58,48953.44,
0,0,23,45676.97,1547.58,47148.34,
0,0,24,45676.97,1582.03,42745.09,
0,0,25,45676.97,1695.20,50976.33,
0,0,26,45676.97,1754.83,43196.53,
0,0,27,45676.97,1935.78,47843.72,
0,0,28,45676.97,2008.19,45807.92,
0,0,29,45676.97,2059.20,49881.49,
0,0,30,45747.73,2059.20,48635.29,
0,0,31,45747.73,2059.20,48635.29,
0,0,32,45747.73,2134.28,41350.34,
0,0,33,45816.94,2134.28,44117.14,
0,0,34,45816.94,2134.28,44117.14,
0,0,35,45816.94,2183.01,45797.52,
0,0,36,45816.94,2183.01,45797.52,
0,0,37,45943.59,2183.01,49316.54,
0,0,38,46039.23,2183.01,44902.40,
0,0,39,46039.23,2183.01,44902.40,
0,0,40,46039.23,2183.01,44902.40,
0,0,41,46039.23,2243.91,41233.54,
0,0,42,46176.56,2243.91,40791.40,
0,0,43,46176.56,2337.87,46030.67,
0,0,44,46176.56,2440.67,49786.80,
0,0,45,46176.56,2506.49,48618.68,
0,0,46,46197.78,2506.49,53625.09,
0,0,47,46197.78,2623.50,51503.58,
0,0,48,46197.78,2623.50,51503.58,
0,0,49,46197.78,2755.17,51169.28,
0,0,50,46197.78,2755.17,51169.28,
0,0,51,46197.78,2841.60,48304.97,
0,0,52,46197.78,2903.54,50003.79,
0,0,53,46197.78,2903.54,50003.79,
0,0,54,46197.78,2903.54,50003.79,
0,0,55,46197.78,2903.54,50003.79,
0,0,56,46280.03,2903.54,51680.07,
0,0,57,46305.98,2903.54,48868.56,
0,0,58,46305.98,2903.54,48868.56,
0,0,59,46305.98,2903.54,48868.56,
0,0,60,46374.86,2903.54,54622.06,
0,0,61,46374.86,2903.54,54622.06,
0,0,62,46374.86,2903.54,54622.06,
0,0,63,46374.86,2903.54,54622.06,
0,0,64,46396.84,2903.54,53005.51,
0,0,65,46396.84,3001.79,53635.29,
0,0,66,46396.84,3112.65,47017.12,
0,0,67,46469.70,3112.65,45853.06,
0,0,68,46469.70,3112.65,45853.06,
0,0,69,46469.70,3112.65,45853.06,
0,0,70,46552.89,3112.65,49109.97,
0,0,71,46552.89,3207.86,46953.03,
0,0,72,46575.33,3207.86,47544.78,
0,0,73,46616.50,3207.86,42882.19,
0,0,74,46616.50,3207.86,42882.19,
0,0,75,46616.50,3252.55,39365.55,
0,0,76,46616.50,3252.55,39365.55,
0,0,77,46616.50,3252.55,39365.55,
0,0,78,46675.09,3252.55,41088.96,
0,0,79,46726.44,3252.55,40925.71,
0,0,80,46786.37,3252.55,40298.84,
0,0,81,46786.37,3320.93,36422.51,
0,0,82,46786.37,3320.93,36422.51,
0,0,83,46818.08,3320.93,34923.53,
0,0,84,46872.63,3320.93,34324.76,
0,0,85,46872.63,3350.13,34476.66,
0,0,86,46872.63,3365.44,32006.42,
0,0,87,46900.57,3365.44,31496.35,
0,0,88,46938.50,3365.44,28704.86,
0,0,89,46961.94,3365.44,23465.68,
0,0,90,46961.94,3465.17,19741.68,
0,0,91,46961.94,3630.36,13407.82,
0,0,92,46995.44,3630.36,13752.29,
0,0,93,47025.94,3630.36,14347.75,
0,0,94,47025.94,3630.36,14347.75,
0,0,95,47077.21,3630.36,18062.85,
0,0,96,47077.21,3726.71,18620.26,
0,0,97,47077.21,3761.77,17855.07,
0,0,98,47077.21,3761.77,17855.07,
0,0,99,47121.92,3761.77,16480.64,
0,0,100,47121.92,3794.87,18941.96,
0,0,101,47121.92,3794.87,18941.96,
0,0,102,47165.08,3794.87,25192.25,
0,0,103,47165.08,3844.19,25105.70,
0,0,104,47165.08,3844.19,25105.70,
0,0,105,47165.08,3844.19,25105.70,
0,0,106,47165.08,3880.18,35204.75,
0,0,107,47165.08,3880.18,35204.75,
0,0,108,47165.08,3880.18,35204.75,
0,0,109,47165.08,3880.18,35204.75,
0,0,110,47165.08,3880.18,35204.75,
0,0,111,47165.08,3880.18,35204.75,
0,0,112,47181.74,3880.18,24960.05,
0,0,113,47181.74,3880.18,24960.05,
0,0,114,47181.74,3880.18,24960.05,
0,0,115,47181.74,3917.16,30326.40,
0,0,116,47181.74,3917.16,30326.40,
0,0,117,47181.74,3917.16,30326.40,
0,0,118,47181.74,3937.21,29074.82,
0,0,119,47216.00,3937.21,32797.19,
0,0,120,47231.60,3937.21,35388.75,
0,0,121,47231.60,4013.10,35528.93,
0,0,122,47231.60,4013.10,35528.93,
0,0,123,47231.60,4034.15,36811.84,
0,0,124,47231.60,4034.15,36811.84,
0,0,125,47231.60,4034.15,36811.84,
0,0,126,47231.60,4034.15,36811.84,
0,0,127,47231.60,4034.15,36811.84,
0,0,128,47231.60,4034.15,36811.84,
0,0,129,47267.98,4034.15,35791.53,
0,0,130,47267.98,4034.15,35791.53,
0,0,131,47267.98,4034.15,35791.53,
0,0,132,47323.92,4034.15,31350.15,
0,0,133,47347.94,4034.15,27715.97,
0,0,134,47347.94,4034.15,27715.97,
0,0,135,47347.94,4034.15,27715.97,
0,0,136,47347.94,4034.15,27715.97,
0,0,137,47347.94,4077.60,16049.23,
0,0,138,47347.94,4077.60,16049.23,
0,0,139,47373.12,4077.60,22836.45,
0,0,140,47384.62,4077.60,25055.10,
0,0,141,47413.12,4077.60,23899.99,
0,0,142,47413.12,4077.60,23899.99,
0,0,143,47421.59,4077.60,25994.83,
0,0,144,47421.59,4107.88,28746.09,
0,0,145,47421.59,4175.55,22611.17,
0,0,146,47421.59,4175.55,22611.17,
