Transaction,Year,Month,Day,Hour,Minute,Second,Symbol,Price,Shares,Total
BUY,0,0,0,0,0,0.000,AAA,10.00,100,1000.00
BUY,0,0,0,0,0,0.000,BBB,50.00,100,5000.00
BUY,0,0,0,0,0,0.000,CCC,90.00,100,9000.00
BUY,0,0,0,0,0,0.000,DDD,130.00,100,13000.00
BUY,0,0,0,0,0,0.000,EEE,170.00,100,17000.00
BUY,0,0,1,0,0,0.000,AAA,7.79,22,171.46
SELL,0,0,2,0,0,0.000,AAA,9.47,20,189.44
SELL,0,0,3,0,0,0.000,AAA,10.46,10,104.61
BUY,0,0,4,0,0,0.000,AAA,8.77,15,131.50
SELL,0,0,7,0,0,0.000,AAA,9.75,10,97.48
SELL,0,0,8,0,0,0.000,AAA,10.54,7,73.81
BUY,0,0,9,0,0,0.000,AAA,8.56,17,145.49
BUY,0,0,10,0,0,0.000,AAA,8.16,4,32.65
SELL,0,0,11,0,0,0.000,AAA,9.48,14,132.74
SELL,0,0,12,0,0,0.000,AAA,11.29,17,191.88
BUY,0,0,13,0,0,0.000,AAA,10.82,3,32.45
BUY,0,0,15,0,0,0.000,AAA,10.60,1,10.60
SELL,0,0,16,0,0,0.000,AAA,13.31,22,292.80
SELL,0,0,17,0,0,0.000,AAA,14.57,7,102.02
BUY,0,0,18,0,0,0.000,AAA,13.54,5,67.72
SELL,0,0,19,0,0,0.000,AAA,15.29,10,152.95
SELL,0,0,20,0,0,0.000,AAA,16.27,4,65.10
SELL,0,0,21,0,0,0.000,AAA,18.09,8,144.75
BUY,0,0,22,0,0,0.000,AAA,17.26,3,51.79
BUY,0,0,23,0,0,0.000,AAA,16.66,2,33.31
SELL,0,0,24,0,0,0.000,AAA,17.23,2,34.45
SELL,0,0,25,0,0,0.000,AAA,18.86,6,113.17
SELL,0,0,26,0,0,0.000,AAA,19.88,3,59.63
SELL,0,0,27,0,0,0.000,AAA,22.62,8,180.95
SELL,0,0,28,0,0,0.000,AAA,24.14,3,72.42
SELL,0,0,29,0,0,0.000,AAA,25.50,2,51.01
